Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,       5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201502,47,3,6,Tennessee,2956,2956,583695,19,38,4555,24,93,6831,40,1041,84669,2256,2256,463827,18,36,4464,24,93,6831,38,1028,83461
201502,48,3,7,Texas,16080,16080,3375061,148,296,32668,28,102,8438,309,10080,834373,13357,13357,2935569,138,276,30514,25,93,7526,245,9194,771841
201502,49,4,8,Utah,1519,1519,380518,2,4,690,16,57,8790,15,180,18195,1320,1320,334588,1,2,396,14,51,7833,9,116,12233
201502,50,1,1,Vermont,53,53,14291,2,4,439,2,7,644,6,158,14666,36,36,11065,1,2,240,2,7,644,3,142,13531
201502,51,3,5,Virginia,2554,2554,536773,23,46,6500,4,15,1670,30,875,106670,2296,2296,476290,20,40,5741,4,15,1670,22,578,63238
201502,53,4,9,Washington,2516,2516,686742,53,106,17595,22,79,16210,89,4290,582759,2056,2056,568514,37,74,13896,20,71,15205,60,4002,557414
201502,54,3,5,West Virginia,213,213,41297,1,2,289,7,23,1531,15,96,7892,81,81,18712,0,0,0,2,7,832,0,0,0
201502,55,2,3,Wisconsin,765,765,182927,10,20,2534,9,32,3415,25,715,89464,528,528,129812,8,16,1982,5,20,2041,11,524,69855
201502,56,4,8,Wyoming,156,156,48481,2,4,465,1,3,375,1,5,428,114,114,28051,1,2,145,0,0,0,0,0,0
201502,US,0,0,United States,87241,87241,20420090,879,1758,232840,543,1979,248726,2119,57377,6609154,71348,71348,17139571,741,1482,200639,453,1683,210959,1497,49583,5882230
201502,R1,1,0,Northeast Region,4922,4922,1253826,144,288,36163,63,209,24649,313,7010,824293,3385,3385,900738,111,222,28689,49,164,18331,173,5577,686899
201502,R2,2,0,Midwest Region,9124,9124,2185523,94,188,20133,50,181,20264,229,4956,491296,7261,7261,1797224,80,160,17673,44,163,17826,124,3899,402212
201502,R3,3,0,South Region,53326,53326,11587554,402,804,92053,284,1056,120905,996,27917,2678567,43849,43849,9807613,352,704,81575,237,899,104925,802,24813,2415691
201502,R4,4,0,West Region,19869,19869,5393187,239,478,84491,146,533,82908,581,17494,2614998,16853,16853,4633996,198,396,72702,123,457,69877,398,15294,2377428
201502,D1,1,1,New England Division,1271,1271,353505,31,62,7979,12,41,6079,78,1989,281173,897,897,240644,24,48,6614,6,21,2629,39,1653,243401
201502,D2,1,2,Middle Atlantic Division,3651,3651,900321,113,226,28184,51,168,18570,235,5021,543120,2488,2488,660094,87,174,22075,43,143,15702,134,3924,443498
201502,D3,2,3,East North Central Divisi,5103,5103,1223577,47,94,11133,31,110,12605,126,2842,288493,4098,4098,1016072,40,80,9999,26,95,10376,78,2437,255597
201502,D4,2,4,West North Central Divisi,4021,4021,961946,47,94,9000,19,71,7659,103,2114,202803,3163,3163,781152,40,80,7674,18,68,7450,46,1462,146615
201502,D5,3,5,South Atlantic Division,26720,26720,6135238,137,274,38491,105,382,69149,514,14198,1553762,22665,22665,5286730,123,246,34993,83,310,59779,424,12463,1381407
201502,D6,3,6,East South Central Divisi,6148,6148,1189718,61,122,11766,69,252,18433,104,2292,186016,4428,4428,876789,49,98,9369,50,186,14092,74,1928,165541
201502,D7,3,7,West South Central Divisi,20458,20458,4262598,204,408,41796,110,422,33323,378,11427,938789,16756,16756,3644094,180,360,37213,104,403,31055,304,10422,868743
201502,D8,4,8,Mountain Division,9937,9937,2436524,63,126,21398,83,306,36531,188,2941,315410,8642,8642,2127235,50,100,18064,75,281,33658,123,2321,261481
201502,D9,4,9,Pacific Division,9932,9932,2956663,176,352,63093,63,227,46377,393,14553,2299588,8211,8211,2506761,148,296,54638,48,176,36219,275,12973,2115948
