Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201502,48,3,7,Texas,7938,7938,1675378,71,142,16602,16,57,4016,181,5938,520709,6574,6574,1460216,66,132,15594,13,48,3104,136,5306,477574
201502,49,4,8,Utah,786,786,196418,0,0,0,13,45,7156,11,137,13876,675,675,171100,0,0,0,11,39,6200,7,84,8961
201502,50,1,1,Vermont,30,30,9608,1,2,240,1,3,444,3,97,9372,27,27,9048,1,2,240,1,3,444,2,91,8992
201502,51,3,5,Virginia,1173,1173,244394,5,10,956,1,4,800,9,256,31269,1048,1048,218519,3,6,480,1,4,800,5,125,17445
201502,53,4,9,Washington,1300,1300,356124,36,72,12387,16,58,12411,59,2339,303538,1065,1065,295885,28,56,10584,15,54,11909,39,2160,287858
201502,54,3,5,West Virginia,114,114,20693,1,2,289,4,14,1260,13,77,6638,37,37,8979,0,0,0,1,4,800,0,0,0
201502,55,2,3,Wisconsin,390,390,93959,5,10,1289,3,10,1327,11,354,51827,278,278,68505,4,8,964,1,4,580,3,230,39193
201502,56,4,8,Wyoming,95,95,33017,0,0,0,1,3,375,0,0,0,68,68,18299,0,0,0,0,0,0,0,0,0
201502,US,0,0,United States,43505,43505,10176675,424,848,111338,318,1173,140648,1171,32013,3690499,35720,35720,8594467,354,708,95039,263,992,117595,774,26917,3230740
201502,R1,1,0,Northeast Region,2002,2002,487577,58,116,15148,22,70,7413,155,3002,381597,1395,1395,353536,49,98,13319,18,58,6403,74,2352,327712
201502,R2,2,0,Midwest Region,4574,4574,1116421,27,54,6132,25,88,9965,117,3173,328258,3671,3671,926496,20,40,4724,22,79,9008,44,2398,257251
201502,R3,3,0,South Region,26638,26638,5767730,222,444,50978,186,703,78530,559,16082,1573727,21905,21905,4898476,190,380,44285,153,593,66261,429,13954,1408118
201502,R4,4,0,West Region,10291,10291,2804947,117,234,39080,85,312,44740,340,9756,1406917,8749,8749,2415959,95,190,32711,70,262,35923,227,8213,1237659
201502,D1,1,1,New England Division,460,460,129903,15,30,3396,4,13,1674,35,599,96819,302,302,84139,12,24,2837,3,10,1409,13,438,77748
201502,D2,1,2,Middle Atlantic Division,1542,1542,357674,43,86,11752,18,57,5739,120,2403,284778,1093,1093,269397,37,74,10482,15,48,4994,61,1914,249964
201502,D3,2,3,East North Central Divisi,2541,2541,622799,15,30,3306,10,31,4045,53,1847,189753,2044,2044,519591,12,24,2671,8,25,3298,20,1559,166882
201502,D4,2,4,West North Central Divisi,2033,2033,493622,12,24,2826,15,57,5920,64,1326,138505,1627,1627,406905,8,16,2053,14,54,5710,24,839,90369
201502,D5,3,5,South Atlantic Division,13538,13538,3083127,71,142,20713,49,181,38081,293,8322,900588,11514,11514,2668937,61,122,18180,33,130,30482,233,7126,795470
201502,D6,3,6,East South Central Divisi,2887,2887,566163,49,98,8647,43,158,12569,44,1021,80373,2023,2023,408783,41,82,7085,31,115,9695,25,793,67442
201502,D7,3,7,West South Central Divisi,10213,10213,2118440,102,204,21618,94,364,27880,222,6739,592766,8368,8368,1820756,88,176,19020,89,348,26084,171,6035,545206
201502,D8,4,8,Mountain Division,5297,5297,1294018,18,36,5754,53,200,21559,140,2208,232348,4602,4602,1125777,11,22,4004,48,184,19541,105,1849,199478
201502,D9,4,9,Pacific Division,4994,4994,1510929,99,198,33326,32,112,23181,200,7548,1174569,4147,4147,1290182,84,168,28707,22,78,16382,122,6364,1038181
