Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200812,01,3,6,Alabama,575,575,91523,0,0,0,1,3,185,14,219,11033,491,491,77355,0,0,0,1,3,185,12,204,9942
200812,02,4,9,Alaska,15,15,3873,3,6,1203,0,0,0,0,0,0,8,8,2571,3,6,1203,0,0,0,0,0,0
200812,04,4,8,Arizona,707,707,142862,2,4,959,0,0,0,3,66,4521,666,666,135863,1,2,760,0,0,0,2,60,4187
200812,05,3,7,Arkansas,203,203,29787,3,6,592,5,19,771,15,184,6725,153,153,23511,1,2,127,4,16,640,14,168,5850
200812,06,4,9,California,1692,1692,409716,30,60,8293,21,77,8386,83,1911,293237,1446,1446,360128,27,54,7480,18,67,7425,68,1795,283031
200812,08,4,8,Colorado,430,430,115067,2,4,704,0,0,0,9,129,33024,381,381,104157,2,4,704,0,0,0,6,104,31490
200812,09,1,1,Connecticut,136,136,33175,5,10,1321,1,3,200,4,22,1972,105,105,22160,5,10,1321,1,3,200,1,5,885
200812,10,3,5,Delaware,184,184,20048,1,2,214,1,4,546,4,69,5709,124,124,11475,0,0,0,0,0,0,2,52,4200
200812,11,3,5,District of Columbia,7,7,1235,0,0,0,1,4,489,0,0,0,7,7,1235,0,0,0,1,4,489,0,0,0
200812,12,3,5,Florida,1725,1725,377573,15,30,4412,10,40,6056,48,1383,148147,1542,1542,343547,13,26,4068,10,40,6056,38,1261,134164
200812,13,3,5,Georgia,828,828,138354,7,14,1019,2,7,493,13,199,17021,623,623,101615,5,10,862,1,4,340,5,47,4404
200812,15,4,9,Hawaii,140,140,36295,0,0,0,0,0,0,6,72,7765,140,140,36295,0,0,0,0,0,0,6,72,7765
200812,16,4,8,Idaho,206,206,33630,3,6,570,11,44,2927,1,11,1427,179,179,29267,2,4,467,11,44,2927,0,0,0
200812,17,2,3,Illinois,389,389,85838,5,10,1210,3,10,1850,20,640,120593,295,295,66442,5,10,1210,3,10,1850,12,583,114514
200812,18,2,3,Indiana,459,459,78117,6,12,1345,2,7,290,17,255,17617,378,378,65474,5,10,1154,1,4,290,13,233,14805
200812,19,2,4,Iowa,155,155,30297,1,2,180,3,9,650,4,88,9974,138,138,27662,0,0,0,3,9,650,4,88,9974
200812,20,2,4,Kansas,177,177,32507,3,6,896,10,40,2740,2,12,805,165,165,30373,2,4,696,10,40,2740,0,0,0
200812,21,3,6,Kentucky,292,292,43481,10,20,1526,2,6,346,7,63,6547,265,265,38817,10,20,1526,1,3,250,6,58,6420
200812,22,3,7,Louisiana,674,674,131150,9,18,1014,6,24,1525,3,34,2299,585,585,118243,8,16,889,6,24,1525,0,0,0
200812,23,1,1,Maine,100,100,20872,1,2,220,1,4,240,2,23,1029,59,59,12741,1,2,220,1,4,240,1,18,810
200812,24,3,5,Maryland,470,470,84423,1,2,169,3,10,510,7,219,24575,432,432,77021,1,2,169,3,10,510,2,174,20245
200812,25,1,1,Massachusetts,285,285,74474,13,26,3592,4,12,2507,21,225,22120,188,188,55341,11,22,2954,3,9,2218,14,173,14375
200812,26,2,3,Michigan,272,272,58843,22,44,4173,8,31,4514,3,21,1402,179,179,46511,22,44,4173,8,31,4514,1,11,663
200812,27,2,4,Minnesota,319,319,75095,1,2,185,2,6,687,5,208,22049,275,275,67813,1,2,185,1,3,388,3,198,20975
