Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200708,01,3,6,Alabama,1602,1602,229949,9,18,770,0,0,0,44,730,40262,1222,1222,168847,9,18,770,0,0,0,36,616,33554
200708,02,4,9,Alaska,107,107,23898,8,16,2491,2,7,853,3,66,8483,29,29,5998,1,2,335,0,0,0,0,0,0
200708,04,4,8,Arizona,3051,3051,588063,5,10,929,47,156,17089,45,374,46338,2821,2821,552589,0,0,0,33,113,12356,40,273,26811
200708,05,3,7,Arkansas,666,666,99367,21,42,3758,7,25,1358,10,279,51449,560,560,82788,9,18,846,6,22,1258,6,245,49300
200708,06,4,9,California,5027,5027,1165154,105,210,25450,45,159,16224,167,5024,545797,3960,3960,932345,91,182,21411,21,74,7549,139,4619,495975
200708,08,4,8,Colorado,2079,2079,548480,23,46,3532,6,20,2369,28,430,58974,1789,1789,480231,13,26,3093,4,14,1612,15,195,28862
200708,09,1,1,Connecticut,490,490,116104,15,30,2910,3,12,979,9,150,10034,389,389,85785,13,26,2700,3,12,979,4,72,5244
200708,10,3,5,Delaware,309,309,37817,2,4,250,2,7,1039,3,26,1412,176,176,21491,2,4,250,1,4,800,1,9,864
200708,11,3,5,District of Columbia,19,19,2418,0,0,0,0,0,0,5,180,17811,19,19,2418,0,0,0,0,0,0,5,180,17811
200708,12,3,5,Florida,5969,5969,1261302,33,66,7839,16,59,12005,122,2738,445961,4927,4927,1073508,28,56,6429,12,46,9485,97,2365,404687
200708,13,3,5,Georgia,4543,4543,709644,12,24,1588,28,99,11680,46,1081,93883,3749,3749,578556,10,20,1341,26,93,11368,35,928,80556
200708,15,4,9,Hawaii,500,500,168017,1,2,233,2,8,2294,3,118,15804,215,215,93629,1,2,233,0,0,0,0,0,0
200708,16,4,8,Idaho,851,851,150597,27,54,3528,34,132,7428,1,25,8585,747,747,131404,24,48,3213,33,129,7086,0,0,0
200708,17,2,3,Illinois,2278,2278,472362,64,128,14538,36,118,11272,84,1096,87821,1752,1752,364271,48,96,10497,34,112,10762,74,1017,81345
200708,18,2,3,Indiana,1923,1923,355016,25,50,4569,10,34,2905,11,136,9035,1662,1662,311349,23,46,4379,8,28,2682,8,121,8492
200708,19,2,4,Iowa,804,804,139642,7,14,1140,9,31,2860,1,6,328,707,707,124114,6,12,908,9,31,2860,1,6,328
200708,20,2,4,Kansas,646,646,121889,7,14,1587,3,9,640,2,48,2300,573,573,110628,6,12,1427,2,6,300,2,48,2300
200708,21,3,6,Kentucky,798,798,115883,17,34,2398,14,54,4910,6,101,5369,606,606,84904,16,32,2245,12,48,4395,2,60,3000
200708,22,3,7,Louisiana,1455,1455,213582,20,40,3463,3,10,1129,15,154,26603,1133,1133,172009,19,38,3312,2,7,829,2,71,21139
200708,23,1,1,Maine,523,523,81828,3,6,445,3,11,1781,6,72,7784,258,258,44642,1,2,180,2,7,1433,3,54,6278
200708,24,3,5,Maryland,1614,1614,283512,26,52,4053,5,15,1458,15,317,21814,1525,1525,268646,26,52,4053,5,15,1458,13,280,17675
200708,25,1,1,Massachusetts,797,797,180028,30,60,6104,6,19,1904,17,215,22008,460,460,117254,24,48,4677,4,13,1536,3,63,6545
200708,26,2,3,Michigan,1885,1885,313955,16,32,4998,12,37,5573,31,389,53949,1380,1380,244747,14,28,4529,1,4,654,23,345,51003
