Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201005,01,3,6,Alabama,605,605,104924,1,2,310,1,3,315,29,447,31877,522,522,90066,1,2,310,0,0,0,28,442,31755
201005,02,4,9,Alaska,123,123,29482,1,2,269,3,12,2681,3,20,2813,107,107,25990,1,2,269,3,12,2681,3,20,2813
201005,04,4,8,Arizona,924,924,191098,0,0,0,6,20,2511,3,31,4400,820,820,171537,0,0,0,6,20,2511,0,0,0
201005,05,3,7,Arkansas,399,399,63095,15,30,2539,0,0,0,14,168,12293,334,334,52041,14,28,2419,0,0,0,13,163,11637
201005,06,4,9,California,2020,2020,534177,31,62,12067,17,57,9993,53,1008,135566,1634,1634,447148,29,58,11562,15,51,9483,41,931,124325
201005,08,4,8,Colorado,758,758,200060,15,30,3392,3,10,954,2,13,961,632,632,170427,15,30,3392,3,10,954,1,8,816
201005,09,1,1,Connecticut,222,222,54569,2,4,342,3,10,1139,3,20,1225,177,177,39650,2,4,342,3,10,1139,1,10,775
201005,10,3,5,Delaware,211,211,26457,6,12,647,0,0,0,2,10,524,119,119,16279,6,12,647,0,0,0,0,0,0
201005,11,3,5,District of Columbia,4,4,694,0,0,0,1,4,360,0,0,0,4,4,694,0,0,0,1,4,360,0,0,0
201005,12,3,5,Florida,2671,2671,583232,7,14,2507,5,19,3917,21,260,31730,2442,2442,538640,6,12,2291,5,19,3917,13,174,20217
201005,13,3,5,Georgia,1127,1127,187198,1,2,257,3,9,7572,8,64,5528,872,872,144151,0,0,0,2,6,7435,6,48,4454
201005,15,4,9,Hawaii,197,197,53622,2,4,414,0,0,0,21,255,21876,197,197,53622,2,4,414,0,0,0,21,255,21876
201005,16,4,8,Idaho,371,371,67580,2,4,310,0,0,0,6,43,4872,294,294,56156,2,4,310,0,0,0,6,43,4872
201005,17,2,3,Illinois,824,824,175735,29,58,6589,11,36,4619,13,470,231245,632,632,135560,27,54,6177,9,30,4126,8,424,227085
201005,18,2,3,Indiana,966,966,175038,9,18,1738,2,7,340,9,124,9236,860,860,158043,4,8,859,1,4,340,7,114,8799
201005,19,2,4,Iowa,546,546,94370,13,26,2130,12,48,4490,6,61,4580,488,488,86703,11,22,1660,12,48,4490,4,46,3414
201005,20,2,4,Kansas,324,324,54810,14,28,1916,1,4,228,4,37,2289,246,246,37936,10,20,1175,0,0,0,3,20,885
201005,21,3,6,Kentucky,504,504,75954,6,12,903,0,0,0,3,15,935,368,368,53342,5,10,805,0,0,0,0,0,0
201005,22,3,7,Louisiana,868,868,147625,12,24,1837,0,0,0,4,30,1869,483,483,85075,11,22,1630,0,0,0,0,0,0
201005,23,1,1,Maine,359,359,50078,1,2,360,0,0,0,4,31,2714,249,249,32774,1,2,360,0,0,0,2,21,2070
201005,24,3,5,Maryland,813,813,138034,12,24,1340,1,3,269,16,653,125267,629,629,102769,12,24,1340,0,0,0,12,578,98553
201005,25,1,1,Massachusetts,440,440,106097,8,16,2401,2,7,1182,9,63,5849,262,262,67705,5,10,1712,1,4,872,1,6,700
201005,26,2,3,Michigan,687,687,115419,7,14,1368,11,44,4344,3,15,1065,468,468,83173,7,14,1368,10,40,4026,0,0,0
201005,27,2,4,Minnesota,700,700,149029,1,2,180,10,30,4133,13,531,46094,584,584,129180,1,2,180,10,30,4133,9,507,43468
