Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201704,01,3,6,Alabama,974,974,199385,1,2,568,1,3,431,5,56,5797,779,779,158710,0,0,0,0,0,0,0,0,0
201704,02,4,9,Alaska,110,110,29523,7,14,2130,2,7,1002,2,51,6080,34,34,6625,6,12,1880,1,4,481,1,36,3709
201704,04,4,8,Arizona,2382,2382,609496,8,16,1051,4,16,2386,44,841,81791,2165,2165,551773,8,16,1051,4,16,2386,42,816,77915
201704,05,3,7,Arkansas,578,578,120347,12,24,2577,10,40,1690,8,423,26954,477,477,102359,12,24,2577,10,40,1690,6,409,26056
201704,06,4,9,California,4866,4866,1430562,74,148,30618,58,190,30478,138,4418,819752,4125,4125,1220376,66,132,27551,50,165,26217,110,4051,762789
201704,08,4,8,Colorado,2113,2113,630454,5,10,1557,1,3,348,43,1860,203395,1755,1755,532141,4,8,1228,0,0,0,24,1602,177505
201704,09,1,1,Connecticut,195,195,57027,8,16,2588,0,0,0,5,42,3139,152,152,41305,7,14,2238,0,0,0,1,16,1200
201704,10,3,5,Delaware,388,388,49000,10,20,1945,1,3,396,9,154,4468,294,294,41258,10,20,1945,1,3,396,7,141,3835
201704,11,3,5,District of Columbia,35,35,8094,1,2,217,1,4,488,5,333,35870,35,35,8094,1,2,217,1,4,488,5,333,35870
201704,12,3,5,Florida,6980,6980,1879038,45,90,11989,26,98,21045,99,3794,572581,6407,6407,1727344,43,86,11703,25,95,20763,79,3524,537427
201704,13,3,5,Georgia,3275,3275,719707,1,2,133,3,12,987,13,235,32524,2705,2705,593808,0,0,0,2,8,806,8,167,25240
201704,15,4,9,Hawaii,186,186,56610,0,0,0,0,0,0,0,0,0,186,186,56610,0,0,0,0,0,0,0,0,0
201704,16,4,8,Idaho,917,917,194031,7,14,2517,4,16,1061,11,231,27874,810,810,170436,6,12,2166,4,16,1061,6,174,23158
201704,17,2,3,Illinois,911,911,236941,15,30,4099,19,63,12523,30,1855,132714,645,645,173062,12,24,3339,18,60,12075,22,1792,125434
201704,18,2,3,Indiana,1308,1308,307664,16,32,3209,2,6,940,25,446,30594,1156,1156,275883,12,24,2248,2,6,940,20,375,25484
201704,19,2,4,Iowa,716,716,171971,9,18,2285,2,6,670,5,325,38114,643,643,158314,9,18,2285,2,6,670,5,325,38114
201704,20,2,4,Kansas,550,550,140172,19,38,3525,1,3,477,5,110,11517,382,382,92070,8,16,1691,0,0,0,1,37,4228
201704,21,3,6,Kentucky,729,729,150063,16,32,2005,8,31,2690,12,141,11525,588,588,125323,15,30,1892,8,31,2690,8,86,7312
201704,22,3,7,Louisiana,1138,1138,245848,5,10,940,1,4,629,2,26,5090,683,683,155691,2,4,260,0,0,0,0,0,0
201704,23,1,1,Maine,406,406,76437,5,10,859,0,0,0,7,79,4753,303,303,55591,4,8,620,0,0,0,4,56,2704
201704,24,3,5,Maryland,955,955,218748,0,0,0,1,4,63,9,421,50342,916,916,211026,0,0,0,1,4,63,7,368,40939
201704,25,1,1,Massachusetts,540,540,161657,32,64,9004,8,25,6617,22,247,36183,298,298,94698,27,54,6507,6,19,5055,10,125,19653
201704,26,2,3,Michigan,1539,1539,386850,14,28,3027,10,39,3316,42,479,49732,1090,1090,288824,0,0,0,9,35,2998,29,348,34231
