Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200801,01,3,6,Alabama,1111,1111,157911,4,8,787,2,8,350,25,431,28972,852,852,119637,4,8,787,2,8,350,15,245,17421
200801,02,4,9,Alaska,37,37,8548,3,6,911,1,3,458,2,32,4113,4,4,922,0,0,0,0,0,0,0,0,0
200801,04,4,8,Arizona,1514,1514,301245,4,8,812,15,45,4659,27,1103,92044,1358,1358,272555,2,4,465,15,45,4659,26,1095,91480
200801,05,3,7,Arkansas,439,439,65384,16,32,2330,6,22,1690,14,162,9767,380,380,56072,8,16,845,5,19,1590,11,122,7648
200801,06,4,9,California,2599,2599,594783,33,66,8539,33,117,14002,127,2261,244644,2278,2278,526047,28,56,7088,22,79,10385,107,2103,227208
200801,08,4,8,Colorado,897,897,224122,5,10,1505,1,4,411,32,739,68077,807,807,203252,4,8,1288,1,4,411,19,674,60046
200801,09,1,1,Connecticut,287,287,81431,5,10,790,0,0,0,6,220,70934,247,247,75060,4,8,685,0,0,0,2,178,68479
200801,10,3,5,Delaware,260,260,31602,3,6,863,0,0,0,4,29,1658,217,217,28070,3,6,863,0,0,0,2,12,1110
200801,11,3,5,District of Columbia,27,27,4179,0,0,0,0,0,0,2,39,3890,27,27,4179,0,0,0,0,0,0,2,39,3890
200801,12,3,5,Florida,4198,4198,826190,34,68,7658,31,108,13036,116,2940,261961,3339,3339,686021,24,48,6234,27,94,11188,82,2328,209386
200801,13,3,5,Georgia,2551,2551,410193,4,8,663,7,24,2374,19,882,70812,1982,1982,318508,1,2,175,3,12,1349,9,714,55988
200801,15,4,9,Hawaii,222,222,55437,15,30,3490,1,4,1147,3,69,12268,110,110,25975,15,30,3490,0,0,0,1,13,4745
200801,16,4,8,Idaho,428,428,76153,2,4,460,3,12,793,1,12,4121,367,367,65938,0,0,0,2,8,603,0,0,0
200801,17,2,3,Illinois,806,806,181766,14,28,2860,23,83,6418,30,1419,116886,659,659,150700,12,24,2486,23,83,6418,21,1326,109808
200801,18,2,3,Indiana,736,736,143172,18,36,2188,5,18,1363,9,102,5794,637,637,129168,15,30,1591,4,15,1291,5,77,4811
200801,19,2,4,Iowa,263,263,41218,3,6,1538,1,3,266,6,232,33508,208,208,31155,2,4,1232,1,3,266,5,219,32839
200801,20,2,4,Kansas,335,335,64005,3,6,510,1,4,400,46,578,30461,310,310,60071,3,6,510,1,4,400,45,572,30222
200801,21,3,6,Kentucky,527,527,90997,6,12,917,2,7,818,15,101,4658,454,454,79667,4,8,725,1,4,400,13,89,4240
200801,22,3,7,Louisiana,1144,1144,171656,10,20,1498,1,3,163,32,394,45238,883,883,134587,9,18,1347,0,0,0,26,347,42701
200801,23,1,1,Maine,181,181,29315,5,10,1270,0,0,0,2,15,1363,70,70,14004,4,8,1044,0,0,0,0,0,0
200801,24,3,5,Maryland,604,604,111810,18,36,1759,0,0,0,12,473,50097,557,557,103726,17,34,1455,0,0,0,9,433,45162
200801,25,1,1,Massachusetts,389,389,92336,12,24,3374,5,16,4381,13,109,11897,285,285,72833,9,18,2772,4,13,3475,2,19,2752
200801,26,2,3,Michigan,567,567,101545,4,8,906,1,3,226,10,108,8090,413,413,80886,3,6,780,0,0,0,5,80,6070
200801,27,2,4,Minnesota,383,383,98824,2,4,420,1,4,696,17,94,8167,300,300,86273,2,4,420,1,4,696,4,29,4089
