Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201307,01,3,6,Alabama,839,839,165184,1,2,266,0,0,0,8,108,6395,707,707,140469,0,0,0,0,0,0,4,52,2538
201307,02,4,9,Alaska,82,82,21457,2,4,575,1,4,366,2,23,1766,62,62,17281,2,4,575,1,4,366,2,23,1766
201307,04,4,8,Arizona,1679,1679,419958,18,36,5268,0,0,0,64,575,71643,1494,1494,388039,16,32,4758,0,0,0,57,462,58855
201307,05,3,7,Arkansas,466,466,96335,20,40,4475,13,43,2523,4,75,3360,463,463,95906,20,40,4475,13,43,2523,4,75,3360
201307,06,4,9,California,3185,3185,925560,42,84,15167,32,107,19913,119,4306,592905,2564,2564,758997,34,68,12171,28,94,17874,84,3878,537045
201307,08,4,8,Colorado,1736,1736,502771,24,48,10348,5,19,2869,18,462,41820,1600,1600,466713,24,48,10348,4,16,2549,15,385,33914
201307,09,1,1,Connecticut,245,245,71124,5,10,911,2,6,752,17,195,23277,188,188,52181,5,10,911,2,6,752,12,149,21260
201307,10,3,5,Delaware,363,363,45479,6,12,1197,3,10,1299,4,50,4648,294,294,39352,6,12,1197,3,10,1299,2,12,1370
201307,11,3,5,District of Columbia,62,62,12721,1,2,175,8,32,2854,17,460,35320,62,62,12721,1,2,175,8,32,2854,17,460,35320
201307,12,3,5,Florida,5170,5170,1362573,42,84,13355,24,83,7820,88,1911,197867,4751,4751,1248565,42,84,13355,11,43,4126,67,1657,163894
201307,13,3,5,Georgia,2171,2171,418042,6,12,1444,4,15,2078,15,610,45855,1796,1796,355493,4,8,1174,3,12,1973,11,578,43732
201307,15,4,9,Hawaii,217,217,65871,1,2,400,0,0,0,0,0,0,201,201,57864,1,2,400,0,0,0,0,0,0
201307,16,4,8,Idaho,749,749,154911,1,2,236,1,3,196,8,82,6961,624,624,129204,1,2,236,0,0,0,7,66,6143
201307,17,2,3,Illinois,1007,1007,240142,11,22,3405,4,13,2177,22,294,38007,707,707,172333,4,8,1511,4,13,2177,13,228,31730
201307,18,2,3,Indiana,1310,1310,276482,36,72,6771,7,28,1221,27,278,17511,1187,1187,255766,35,70,6566,5,20,940,24,261,16524
201307,19,2,4,Iowa,855,855,167149,12,24,2655,3,10,746,17,247,33731,726,726,147520,9,18,2140,1,4,306,14,232,32323
201307,20,2,4,Kansas,414,414,97576,36,72,6646,2,7,980,1,20,1476,302,302,75776,26,52,5017,1,4,480,0,0,0
201307,21,3,6,Kentucky,543,543,96290,9,18,1511,4,14,1226,13,208,13129,276,276,52574,5,10,875,2,8,640,3,24,1740
201307,22,3,7,Louisiana,1113,1113,237899,8,16,1390,1,3,468,5,53,3423,727,727,177004,7,14,1233,0,0,0,0,0,0
201307,23,1,1,Maine,217,217,39812,12,24,3066,1,3,171,3,27,1415,75,75,14215,1,2,390,0,0,0,0,0,0
201307,24,3,5,Maryland,980,980,185167,2,4,369,3,9,474,17,261,27801,943,943,179116,2,4,369,3,9,474,15,200,21604
201307,25,1,1,Massachusetts,622,622,164731,15,30,4102,10,35,6177,40,1193,182694,435,435,117398,10,20,2776,9,32,5882,19,952,149896
201307,26,2,3,Michigan,1347,1347,293309,21,42,4724,5,19,1302,4,37,3759,936,936,215550,18,36,3569,5,19,1302,2,27,3023
201307,27,2,4,Minnesota,1165,1165,292964,4,8,800,44,174,11748,13,724,108297,974,974,248795,3,6,581,42,168,10834,7,625,97969
