Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200507,01,3,6,Alabama,1930,1930,262418,10,20,2115,4,14,420,6,699,109346,1243,1243,165470,10,20,2115,4,14,420,3,684,108480
200507,02,4,9,Alaska,131,131,29144,22,44,6450,8,28,3607,3,42,4936,101,101,23881,22,44,6450,8,28,3607,3,42,4936
200507,04,4,8,Arizona,6428,6428,1062335,17,34,2926,46,164,13635,50,764,48859,5675,5675,962541,10,20,1843,43,153,12922,44,685,41702
200507,05,3,7,Arkansas,1018,1018,150110,23,46,3802,1,3,132,37,377,14030,899,899,137911,21,42,3675,0,0,0,34,362,13350
200507,06,4,9,California,13452,13452,2730235,109,218,23896,143,478,54415,191,2900,301834,11085,11085,2278373,83,166,17101,104,346,44091,114,2255,245319
200507,08,4,8,Colorado,3567,3567,743173,19,38,3828,9,30,2840,24,598,79135,3243,3243,682731,17,34,3343,6,21,1914,23,588,78401
200507,09,1,1,Connecticut,812,812,168424,17,34,1796,2,8,711,11,129,6225,653,653,130292,14,28,1503,1,4,452,6,50,2860
200507,10,3,5,Delaware,634,634,76166,0,0,0,2,8,638,5,41,1731,146,146,20381,0,0,0,2,8,638,3,29,1491
200507,11,3,5,District of Columbia,11,11,1542,0,0,0,0,0,0,7,136,20921,11,11,1542,0,0,0,0,0,0,7,136,20921
200507,12,3,5,Florida,16675,16675,2950333,62,124,11216,86,330,26972,322,6400,722518,14584,14584,2623312,55,110,9998,78,301,24180,268,5420,619211
200507,13,3,5,Georgia,7082,7082,1022262,10,20,1759,12,41,3449,38,735,50499,6169,6169,908230,3,6,1013,7,26,2723,15,517,36867
200507,15,4,9,Hawaii,490,490,104411,3,6,582,1,4,293,9,89,16740,282,282,55510,3,6,582,0,0,0,2,28,5446
200507,16,4,8,Idaho,1656,1656,278607,18,36,3147,20,76,4874,8,166,10161,1406,1406,237730,16,32,2872,18,70,4535,6,152,9424
200507,17,2,3,Illinois,4789,4789,881620,70,140,16080,93,304,23114,65,901,87927,4092,4092,753252,51,102,12364,89,290,22089,48,742,73475
200507,18,2,3,Indiana,2662,2662,440602,52,104,10512,25,92,8776,22,349,15843,2257,2257,385461,33,66,7176,20,74,7408,15,293,13137
200507,19,2,4,Iowa,1168,1168,177504,8,16,2067,30,115,6630,16,310,30287,972,972,150008,8,16,2067,30,115,6630,16,310,30287
200507,20,2,4,Kansas,1075,1075,171468,40,80,5570,4,15,1485,22,197,10054,935,935,150835,34,68,4400,0,0,0,21,192,9869
200507,21,3,6,Kentucky,1653,1653,225178,6,12,818,5,17,1325,14,164,8643,981,981,132632,5,10,727,3,11,755,3,26,1637
200507,22,3,7,Louisiana,1614,1614,209619,11,22,1422,5,18,972,7,173,8169,991,991,136092,1,2,185,2,8,420,1,120,5400
200507,23,1,1,Maine,741,741,118818,12,24,3625,1,3,261,4,25,2194,306,306,57184,11,22,3399,0,0,0,0,0,0
200507,24,3,5,Maryland,1584,1584,242062,22,44,2726,2,6,398,29,428,24887,1443,1443,222377,22,44,2726,1,3,180,21,349,17773
200507,25,1,1,Massachusetts,1301,1301,283587,82,164,17057,12,37,3934,30,768,98091,699,699,177054,66,132,13705,6,19,1712,13,562,78817
200507,26,2,3,Michigan,3665,3665,614571,17,34,2490,23,87,9012,51,566,38951,2433,2433,445945,11,22,1663,8,31,2292,40,491,33673
