Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201611,01,3,6,Alabama,758,758,146924,8,16,2917,2,7,763,7,146,11957,536,536,97956,7,14,2728,0,0,0,4,83,6620
201611,02,4,9,Alaska,72,72,20531,4,8,1153,1,3,523,2,16,2530,12,12,2128,4,8,1153,0,0,0,0,0,0
201611,04,4,8,Arizona,1791,1791,469370,4,8,802,2,8,1248,60,1151,192344,1566,1566,400096,3,6,455,2,8,1248,59,1132,188989
201611,05,3,7,Arkansas,466,466,103004,16,32,3830,0,0,0,2,15,970,343,343,79149,14,28,3543,0,0,0,0,0,0
201611,06,4,9,California,3803,3803,1142533,63,126,24865,40,139,23536,156,3762,644895,3103,3103,946753,60,120,23312,37,129,22352,115,3150,559865
201611,08,4,8,Colorado,1649,1649,494975,4,8,1193,1,4,422,66,1983,243423,1506,1506,458603,2,4,617,1,4,422,62,1959,240369
201611,09,1,1,Connecticut,183,183,66947,4,8,1092,2,7,630,6,47,4108,106,106,33066,3,6,532,2,7,630,1,16,1200
201611,10,3,5,Delaware,401,401,54134,10,20,1851,3,10,1880,4,42,3475,318,318,46766,10,20,1851,3,10,1880,2,17,1643
201611,11,3,5,District of Columbia,21,21,4785,0,0,0,0,0,0,0,0,0,21,21,4785,0,0,0,0,0,0,0,0,0
201611,12,3,5,Florida,5245,5245,1374080,29,58,10908,21,74,14143,92,2863,514127,4606,4606,1205742,27,54,10386,19,68,13253,78,2730,495266
201611,13,3,5,Georgia,2587,2587,561564,0,0,0,6,24,3018,15,929,163038,2275,2275,492027,0,0,0,6,24,3018,9,871,157917
201611,15,4,9,Hawaii,174,174,67418,2,4,716,6,24,3744,15,120,17450,155,155,55568,2,4,716,6,24,3744,15,120,17450
201611,16,4,8,Idaho,700,700,148876,1,2,413,16,64,6354,14,131,10734,647,647,138952,1,2,413,16,64,6354,13,118,9863
201611,17,2,3,Illinois,788,788,211673,14,28,5002,27,94,22756,20,417,45119,554,554,157433,9,18,3503,27,94,22756,16,370,40282
201611,18,2,3,Indiana,1155,1155,287020,26,52,6020,5,20,2202,18,215,18370,1052,1052,265466,21,42,4854,2,8,1053,14,182,15685
201611,19,2,4,Iowa,671,671,160691,23,46,4685,6,21,3341,9,710,101527,590,590,149853,22,44,4385,5,18,2841,7,700,100438
201611,20,2,4,Kansas,439,439,111249,14,28,2290,2,7,1043,3,48,3898,294,294,68801,0,0,0,0,0,0,0,0,0
201611,21,3,6,Kentucky,645,645,122555,16,32,2456,6,23,1228,26,460,17728,509,509,97673,14,28,1943,6,23,1228,22,404,14357
201611,22,3,7,Louisiana,957,957,188334,10,20,1898,1,3,472,4,57,5417,670,670,131525,8,16,1524,0,0,0,0,0,0
201611,23,1,1,Maine,280,280,62102,2,4,549,1,3,333,3,29,1778,124,124,33564,1,2,250,0,0,0,2,24,1160
201611,24,3,5,Maryland,821,821,183453,1,2,200,0,0,0,12,181,17714,803,803,179231,1,2,200,0,0,0,11,176,17356
201611,25,1,1,Massachusetts,590,590,186165,16,32,6208,13,46,7080,24,442,72905,385,385,127508,11,22,4563,11,39,6102,13,352,60465
201611,26,2,3,Michigan,1217,1217,288889,41,82,8913,9,28,2730,22,487,70001,944,944,237114,27,54,5583,6,19,1537,11,432,66485
