Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200511,01,3,6,Alabama,1873,1873,286975,1,2,166,1,4,399,66,841,43855,1484,1484,236300,0,0,0,0,0,0,63,790,36175
200511,02,4,9,Alaska,81,81,18090,15,30,4797,3,12,1335,2,11,1708,55,55,13581,15,30,4797,3,12,1335,2,11,1708
200511,04,4,8,Arizona,5344,5344,939357,12,24,2214,19,62,5435,16,187,18173,4787,4787,868303,4,8,846,15,47,4246,10,99,10123
200511,05,3,7,Arkansas,848,848,131731,19,38,2619,10,38,1754,13,119,5180,602,602,97346,10,20,1260,8,32,1282,0,0,0
200511,06,4,9,California,9399,9399,1946354,74,148,15412,110,399,34482,186,3863,408666,7731,7731,1620073,63,126,12887,85,306,26215,128,3353,361940
200511,08,4,8,Colorado,3023,3023,735744,18,36,5107,17,60,6025,14,132,13282,2841,2841,707104,16,32,4623,14,51,5082,12,115,12097
200511,09,1,1,Connecticut,637,637,140854,11,22,1933,3,11,1122,24,477,44121,483,483,106602,10,20,1785,3,11,1122,9,333,34919
200511,10,3,5,Delaware,494,494,65611,6,12,1249,1,3,446,16,143,11514,272,272,40436,6,12,1249,1,3,446,14,133,11307
200511,11,3,5,District of Columbia,6,6,455,0,0,0,0,0,0,0,0,0,6,6,455,0,0,0,0,0,0,0,0,0
200511,12,3,5,Florida,15022,15022,2748414,48,96,8201,98,366,42662,225,3824,461524,12610,12610,2332242,40,80,6866,84,314,37657,174,3232,397847
200511,13,3,5,Georgia,6610,6610,972478,15,30,1966,8,28,1729,25,673,54651,5442,5442,819105,9,18,1328,5,19,1357,14,589,48136
200511,15,4,9,Hawaii,439,439,94721,1,2,212,1,4,293,9,111,118887,272,272,55459,1,2,212,0,0,0,1,36,105000
200511,16,4,8,Idaho,1421,1421,272614,8,16,1727,10,39,3075,6,34,3199,1361,1361,263196,8,16,1727,10,39,3075,5,29,2893
200511,17,2,3,Illinois,4047,4047,763581,73,146,16684,87,291,26073,71,1477,127153,3503,3503,661271,35,70,7454,83,278,25039,59,1325,116267
200511,18,2,3,Indiana,2499,2499,427457,42,84,7882,12,45,2952,18,289,20254,2292,2292,398327,31,62,6063,9,36,2492,13,232,17569
200511,19,2,4,Iowa,1072,1072,176295,7,14,1638,17,55,4461,10,341,29322,928,928,155786,6,12,1439,17,55,4461,9,336,29072
200511,20,2,4,Kansas,1205,1205,187084,7,14,1265,8,30,3263,16,372,17310,1130,1130,177848,7,14,1265,8,30,3263,16,372,17310
200511,21,3,6,Kentucky,1104,1104,147597,20,40,3511,3,11,862,14,148,7235,915,915,116638,19,38,3419,2,8,668,10,127,6266
200511,22,3,7,Louisiana,1651,1651,182600,3,6,233,2,7,368,14,168,8099,988,988,110128,1,2,100,0,0,0,9,136,6505
200511,23,1,1,Maine,531,531,85522,5,10,1134,2,7,634,4,46,4134,226,226,41127,3,6,780,1,4,373,1,24,2304
200511,24,3,5,Maryland,1842,1842,278037,2,4,279,2,7,552,15,193,16425,1568,1568,249272,1,2,157,1,4,334,8,123,10622
200511,25,1,1,Massachusetts,1097,1097,231068,37,74,7889,11,33,3258,36,572,54256,662,662,151691,23,46,5002,8,24,2044,11,271,24196
200511,26,2,3,Michigan,2708,2708,440372,11,22,1847,21,71,7945,62,983,67213,1775,1775,318869,6,12,1180,7,28,2647,52,894,60638
