Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201306,01,3,6,Alabama,782,782,146173,0,0,0,0,0,0,6,121,10829,649,649,122382,0,0,0,0,0,0,1,60,6735
201306,02,4,9,Alaska,112,112,29891,1,2,262,1,3,450,1,13,1386,86,86,24101,0,0,0,1,3,450,1,13,1386
201306,04,4,8,Arizona,1889,1889,436084,18,36,3825,4,14,1845,16,144,18974,1593,1593,376918,15,30,3351,4,14,1845,12,85,12011
201306,05,3,7,Arkansas,471,471,85757,5,10,703,2,7,465,18,261,18190,460,460,84371,5,10,703,2,7,465,18,261,18190
201306,06,4,9,California,3363,3363,951063,111,222,30465,44,157,25236,94,2629,408064,2817,2817,804489,98,196,25148,33,121,18459,70,2249,358644
201306,08,4,8,Colorado,1501,1501,451217,18,36,5571,1,4,407,20,764,71921,1371,1371,418638,18,36,5571,0,0,0,17,728,68612
201306,09,1,1,Connecticut,213,213,64625,1,2,198,0,0,0,7,183,7510,156,156,47350,1,2,198,0,0,0,3,132,5257
201306,10,3,5,Delaware,326,326,43007,7,14,1031,2,8,775,3,55,2312,323,323,42832,7,14,1031,2,8,775,2,48,2200
201306,11,3,5,District of Columbia,25,25,5129,4,8,702,0,0,0,2,109,8369,25,25,5129,4,8,702,0,0,0,2,109,8369
201306,12,3,5,Florida,5009,5009,1313435,14,28,5094,9,33,11056,66,1333,155320,4558,4558,1180474,13,26,4864,6,23,9636,49,1158,127371
201306,13,3,5,Georgia,2091,2091,397410,3,6,1298,2,7,772,25,1484,191058,1765,1765,339524,3,6,1298,1,4,608,22,1450,188871
201306,15,4,9,Hawaii,196,196,67693,0,0,0,1,3,400,1,9,700,196,196,67693,0,0,0,1,3,400,1,9,700
201306,16,4,8,Idaho,729,729,146261,5,10,1004,4,15,884,4,77,6047,610,610,125161,4,8,821,3,12,671,3,60,4694
201306,17,2,3,Illinois,922,922,232677,12,24,3399,6,21,3424,18,339,31131,671,671,176344,6,12,1750,5,17,2957,11,292,26420
201306,18,2,3,Indiana,1219,1219,260765,13,26,3092,9,31,3851,14,434,48027,1091,1091,239481,13,26,3092,6,22,3329,11,408,46535
201306,19,2,4,Iowa,645,645,139478,8,16,2367,4,15,1560,10,103,10399,511,511,119052,6,12,1932,3,11,1267,8,93,9364
201306,20,2,4,Kansas,344,344,80970,30,60,5877,2,6,988,11,62,5210,197,197,47377,12,24,2595,0,0,0,0,0,0
201306,21,3,6,Kentucky,647,647,96976,30,60,3947,3,12,1030,13,209,12400,416,416,56923,27,54,3498,3,12,1030,5,35,1745
201306,22,3,7,Louisiana,1111,1111,210975,9,18,1451,1,3,468,5,61,4156,541,541,117249,3,6,295,0,0,0,0,0,0
201306,23,1,1,Maine,280,280,56123,2,4,325,4,15,1739,3,26,1454,143,143,32001,0,0,0,3,12,1563,0,0,0
201306,24,3,5,Maryland,1112,1112,230114,6,12,1280,0,0,0,22,806,85139,1055,1055,219832,6,12,1280,0,0,0,20,745,78942
201306,25,1,1,Massachusetts,659,659,177214,7,14,1782,9,30,4250,25,1021,179966,455,455,120795,4,8,1283,8,27,3452,7,737,146919
201306,26,2,3,Michigan,1333,1333,300902,4,8,1107,2,7,729,8,58,6236,895,895,214281,2,4,563,1,4,491,5,38,3855
201306,27,2,4,Minnesota,1079,1079,270650,6,12,1229,10,39,5101,7,126,14412,888,888,226728,5,10,1055,10,39,5101,2,85,11239
