Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200804,01,3,6,Alabama,1247,1247,204275,8,16,1298,3,10,718,30,442,33259,881,881,143762,8,16,1298,3,10,718,22,344,26944
200804,02,4,9,Alaska,73,73,20960,7,14,2691,1,4,728,0,0,0,50,50,17004,5,10,1982,1,4,728,0,0,0
200804,04,4,8,Arizona,2002,2002,414228,19,38,2678,16,53,2227,36,820,24446,1670,1670,347917,17,34,2281,14,46,1700,32,787,22341
200804,05,3,7,Arkansas,469,469,72514,16,32,2547,6,22,1090,25,330,10761,357,357,55809,11,22,1441,5,19,954,20,288,8494
200804,06,4,9,California,3401,3401,799256,50,100,14403,40,147,18240,114,2541,401170,2711,2711,653358,36,72,11365,27,102,13546,78,2196,367848
200804,08,4,8,Colorado,1353,1353,345020,8,16,1683,4,14,2411,34,575,50230,1133,1133,289546,6,12,1249,3,11,2067,19,434,33189
200804,09,1,1,Connecticut,275,275,80233,5,10,624,4,15,4391,7,81,5318,158,158,45040,4,8,392,4,15,4391,1,14,1039
200804,10,3,5,Delaware,265,265,34975,2,4,362,2,8,1084,6,36,2796,175,175,23606,2,4,362,2,8,1084,3,19,2120
200804,11,3,5,District of Columbia,96,96,15357,0,0,0,0,0,0,14,70,4108,96,96,15357,0,0,0,0,0,0,14,70,4108
200804,12,3,5,Florida,3910,3910,812946,26,52,4357,22,75,10725,88,2257,251075,3140,3140,673609,22,44,3771,21,71,10267,56,1936,213264
200804,13,3,5,Georgia,2916,2916,485674,8,16,1987,13,44,5028,13,221,21285,2219,2219,375701,6,12,1739,10,35,4739,8,163,17257
200804,15,4,9,Hawaii,254,254,97288,39,78,15745,4,15,2619,4,113,17354,191,191,79494,39,78,15745,2,7,1715,1,11,3700
200804,16,4,8,Idaho,712,712,131972,19,38,4636,7,28,1838,1,20,2594,486,486,99091,16,32,4119,2,8,668,0,0,0
200804,17,2,3,Illinois,1532,1532,353360,18,36,5381,27,83,14481,37,1460,247252,1042,1042,246981,13,26,4282,25,77,14001,22,1346,235152
200804,18,2,3,Indiana,1436,1436,264304,7,14,1626,4,14,1225,23,241,15373,1155,1155,222356,5,10,1260,2,8,712,19,215,11345
200804,19,2,4,Iowa,712,712,122291,7,14,1569,3,9,794,5,113,9885,542,542,92628,4,8,890,1,3,349,3,100,8757
200804,20,2,4,Kansas,527,527,98673,18,36,3474,1,4,174,4,41,2393,292,292,64766,6,12,1185,0,0,0,0,0,0
200804,21,3,6,Kentucky,729,729,112473,16,32,2725,56,220,12366,18,272,24170,562,562,88044,12,24,2240,54,214,11968,13,245,21734
200804,22,3,7,Louisiana,1467,1467,236308,22,44,2546,3,10,755,36,573,48548,933,933,159652,18,36,1972,0,0,0,27,402,35703
200804,23,1,1,Maine,306,306,53352,2,4,797,0,0,0,3,18,1368,179,179,32401,2,4,797,0,0,0,0,0,0
200804,24,3,5,Maryland,926,926,174442,2,4,449,0,0,0,18,180,13229,865,865,164414,2,4,449,0,0,0,3,72,4788
200804,25,1,1,Massachusetts,496,496,119257,9,18,1919,3,11,1121,21,444,44245,265,265,72938,4,8,805,2,8,826,6,309,25597
200804,26,2,3,Michigan,1085,1085,191687,2,4,404,2,6,925,15,106,9148,669,669,129055,2,4,404,1,3,575,6,60,4895
