Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200704,01,3,6,Alabama,1809,1809,266702,2,4,282,0,0,0,18,409,25426,1360,1360,195884,1,2,167,0,0,0,8,276,17441
200704,02,4,9,Alaska,150,150,33402,12,24,3725,5,18,2134,3,41,5076,93,93,19121,7,14,2053,4,14,1524,1,8,834
200704,04,4,8,Arizona,3752,3752,719708,27,54,5794,23,75,7733,24,370,47724,3485,3485,673953,23,46,5100,21,68,7342,22,357,46540
200704,05,3,7,Arkansas,722,722,112940,16,32,3239,2,6,575,8,160,10721,588,588,92263,5,10,597,1,3,425,4,125,8517
200704,06,4,9,California,6930,6930,1583307,89,178,21425,76,251,31571,139,2728,333887,5890,5890,1364286,78,156,18046,56,181,25885,111,2489,307275
200704,08,4,8,Colorado,2202,2202,521288,10,20,2856,8,25,2364,15,810,93812,1935,1935,470311,10,20,2856,7,22,2020,12,795,92437
200704,09,1,1,Connecticut,506,506,115108,9,18,1523,4,15,1467,12,240,35317,386,386,82966,6,12,1145,4,15,1467,6,182,31873
200704,10,3,5,Delaware,438,438,56345,4,8,1083,8,32,4318,8,94,9405,358,358,49717,4,8,1083,8,32,4318,6,77,8857
200704,11,3,5,District of Columbia,24,24,7064,1,2,80,0,0,0,0,0,0,24,24,7064,1,2,80,0,0,0,0,0,0
200704,12,3,5,Florida,7275,7275,1363693,64,128,12407,41,144,22089,160,2922,395354,5978,5978,1153549,52,104,10887,38,134,20121,130,2555,356737
200704,13,3,5,Georgia,5377,5377,853927,14,28,2678,11,38,4476,113,2678,219851,4824,4824,779196,12,24,2362,8,29,4005,105,2626,216635
200704,15,4,9,Hawaii,442,442,112117,0,0,0,3,9,2921,3,63,9528,149,149,35040,0,0,0,1,3,1200,1,12,2843
200704,16,4,8,Idaho,1030,1030,204538,26,52,5863,5,17,1387,1,12,4121,768,768,153608,21,42,5249,2,6,740,0,0,0
200704,17,2,3,Illinois,2436,2436,530562,52,104,11483,37,119,11156,30,847,103283,1951,1951,431799,48,96,10763,35,112,10578,20,761,96105
200704,18,2,3,Indiana,2016,2016,358984,28,56,6438,7,27,2399,23,344,13698,1676,1676,305659,20,40,5169,6,24,2399,19,320,12755
200704,19,2,4,Iowa,933,933,166358,8,16,1848,28,99,10776,18,175,20329,732,732,132232,8,16,1848,28,99,10776,15,158,18164
200704,20,2,4,Kansas,741,741,134543,27,54,5072,1,4,454,12,190,11203,655,655,121059,16,32,2887,0,0,0,12,190,11203
200704,21,3,6,Kentucky,1167,1167,178078,15,30,2084,7,26,2580,16,134,11254,887,887,136389,13,26,1764,5,19,1422,10,86,7387
200704,22,3,7,Louisiana,1662,1662,253543,23,46,2704,2,8,1004,6,293,11774,1336,1336,209753,13,26,2014,2,8,1004,3,259,9953
200704,23,1,1,Maine,494,494,76422,5,10,1040,3,12,938,5,53,3874,234,234,38097,3,6,775,2,8,590,2,38,2511
200704,24,3,5,Maryland,1168,1168,205791,0,0,0,1,4,150,8,367,118456,1091,1091,193096,0,0,0,1,4,150,4,324,113852
200704,25,1,1,Massachusetts,789,789,180347,23,46,4808,10,31,4215,17,293,27178,389,389,101225,9,18,2085,6,19,3204,6,182,16486
200704,26,2,3,Michigan,1597,1597,270397,9,18,1936,4,14,1402,15,161,10557,1075,1075,197258,8,16,1810,2,8,937,7,116,7882
