Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200307,01,3,6,Alabama,1943,1943,240587,3,6,296,0,0,0,16,173,8543,900,900,118459,1,2,84,0,0,0,12,148,7570
200307,02,4,9,Alaska,170,170,31054,17,34,5068,3,9,664,6,36,5480,142,142,26597,16,32,4923,3,9,664,6,36,5480
200307,04,4,8,Arizona,5848,5848,866271,39,78,4612,11,36,2013,23,379,23898,4863,4863,748891,39,78,4612,11,36,2013,21,351,22383
200307,05,3,7,Arkansas,793,793,112371,25,50,2840,17,55,1321,36,442,15063,704,704,102141,25,50,2840,17,55,1321,35,428,14613
200307,06,4,9,California,12207,12207,2330421,91,182,19396,78,273,24194,181,3405,279697,10818,10818,2069088,81,162,17786,66,233,21351,161,3242,268312
200307,08,4,8,Colorado,3276,3276,570867,33,66,8216,14,53,4696,34,404,36962,2916,2916,504161,22,44,3583,11,44,3856,22,339,28884
200307,09,1,1,Connecticut,832,832,161652,9,18,1373,4,15,901,11,80,3961,724,724,138373,7,14,860,4,15,901,6,53,2962
200307,10,3,5,Delaware,621,621,72810,0,0,0,0,0,0,3,47,2322,605,605,71510,0,0,0,0,0,0,2,42,2242
200307,11,3,5,District of Columbia,9,9,1173,0,0,0,0,0,0,1,69,4220,9,9,1173,0,0,0,0,0,0,1,69,4220
200307,12,3,5,Florida,13788,13788,1982962,122,244,21916,90,348,39303,175,2826,256341,13193,13193,1902290,121,242,21595,88,342,38452,169,2759,250125
200307,13,3,5,Georgia,6975,6975,832898,31,62,7624,18,57,2329,62,1595,92539,5918,5918,719732,24,48,3557,7,24,1730,46,1456,86254
200307,15,4,9,Hawaii,477,477,97073,1,2,198,3,12,1728,1,10,973,334,334,64079,1,2,198,3,12,1728,0,0,0
200307,16,4,8,Idaho,1286,1286,195868,15,30,2719,15,59,3014,2,22,639,1229,1229,188340,15,30,2719,15,59,3014,1,16,420
200307,17,2,3,Illinois,4372,4372,733480,59,118,11265,60,223,26692,70,1005,95382,3233,3233,534148,28,56,5098,27,104,8667,29,359,32218
200307,18,2,3,Indiana,3230,3230,490142,84,168,14051,13,49,3873,33,264,13634,2555,2555,399396,59,118,10642,11,43,3420,14,141,7113
200307,19,2,4,Iowa,1399,1399,187046,4,8,1145,9,35,2544,21,317,24777,1128,1128,152386,3,6,977,8,32,2270,18,302,23332
200307,20,2,4,Kansas,1064,1064,153023,42,84,7201,21,83,5138,1,5,298,970,970,141672,41,82,7102,20,80,5000,0,0,0
200307,21,3,6,Kentucky,1586,1586,203632,18,36,1629,13,40,1439,20,183,9965,1276,1276,172892,8,16,776,1,4,278,16,163,9057
200307,22,3,7,Louisiana,1435,1435,177877,5,10,428,0,0,0,18,421,26301,1129,1129,140645,5,10,428,0,0,0,17,398,25095
200307,23,1,1,Maine,688,688,85100,7,14,1034,6,22,1633,3,17,1153,449,449,55721,6,12,876,5,19,1353,1,7,560
200307,24,3,5,Maryland,1954,1954,259223,2,4,317,1,4,315,11,218,12184,1597,1597,210326,1,2,103,0,0,0,7,121,6441
200307,25,1,1,Massachusetts,1260,1260,243323,32,64,5407,15,51,4582,19,541,39381,857,857,175771,19,38,3565,12,42,3818,12,497,35375
200307,26,2,3,Michigan,4531,4531,657867,20,40,3533,18,60,4551,45,379,20827,3127,3127,469008,9,18,1687,17,57,4338,30,297,15854
