Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201610,01,3,6,Alabama,794,794,164122,1,2,518,6,22,1527,31,262,14945,650,650,132847,1,2,518,6,22,1527,28,178,7979
201610,02,4,9,Alaska,94,94,27175,2,4,747,1,3,523,2,16,2530,26,26,6795,1,2,172,0,0,0,0,0,0
201610,04,4,8,Arizona,1899,1899,491088,5,10,1537,5,17,1613,29,248,36698,1792,1792,463969,4,8,1191,5,17,1613,28,228,33167
201610,05,3,7,Arkansas,756,756,147060,14,28,2667,2,7,413,3,22,1456,633,633,126094,14,28,2667,2,7,413,0,0,0
201610,06,4,9,California,3862,3862,1204365,59,118,23910,42,145,30645,118,4149,832938,3147,3147,999863,57,114,23089,40,139,29529,85,3499,743602
201610,08,4,8,Colorado,1687,1687,499394,7,14,2386,1,3,1050,57,2372,332220,1555,1555,452840,6,12,2061,0,0,0,53,2342,326405
201610,09,1,1,Connecticut,270,270,79899,6,12,1532,14,55,4025,11,187,21157,199,199,46740,6,12,1532,14,55,4025,8,165,19562
201610,10,3,5,Delaware,371,371,51135,17,34,3304,1,3,396,6,92,10810,281,281,43181,17,34,3304,1,3,396,4,65,8786
201610,11,3,5,District of Columbia,32,32,7291,0,0,0,0,0,0,4,647,64929,32,32,7291,0,0,0,0,0,0,4,647,64929
201610,12,3,5,Florida,5589,5589,1464624,23,46,6884,29,104,17334,91,4417,546635,4749,4749,1244331,21,42,6062,28,101,16820,74,4161,507497
201610,13,3,5,Georgia,2881,2881,621445,5,10,1222,3,11,2278,35,1828,195281,2467,2467,534592,5,10,1222,3,11,2278,29,1737,188008
201610,15,4,9,Hawaii,178,178,67819,0,0,0,0,0,0,0,0,0,157,157,54722,0,0,0,0,0,0,0,0,0
201610,16,4,8,Idaho,781,781,156442,1,2,175,5,20,1707,13,115,11778,709,709,145084,1,2,175,4,16,1405,12,104,10362
201610,17,2,3,Illinois,1113,1113,290817,5,10,2040,18,61,11773,33,2118,196669,790,790,221573,2,4,1126,18,61,11773,26,2010,185781
201610,18,2,3,Indiana,1264,1264,303157,11,22,2737,6,20,2564,22,509,49654,1160,1160,281696,8,16,1853,5,16,2351,14,445,43697
201610,19,2,4,Iowa,844,844,197792,22,44,8020,0,0,0,24,294,30408,713,713,177062,12,24,2820,0,0,0,22,282,29068
201610,20,2,4,Kansas,490,490,119114,11,22,1986,1,3,408,6,96,7798,283,283,65790,1,2,350,0,0,0,1,12,1007
201610,21,3,6,Kentucky,560,560,111929,8,16,1485,8,30,1892,39,393,31102,378,378,77886,5,10,1025,7,27,1630,35,330,27164
201610,22,3,7,Louisiana,1086,1086,217367,17,34,2451,2,8,885,7,129,14098,659,659,129767,6,12,730,1,4,257,5,100,10538
201610,23,1,1,Maine,343,343,64967,4,8,872,1,3,333,0,0,0,179,179,36900,3,6,605,0,0,0,0,0,0
201610,24,3,5,Maryland,806,806,184429,1,2,200,0,0,0,9,179,22212,740,740,170854,0,0,0,0,0,0,7,94,8985
201610,25,1,1,Massachusetts,673,673,198281,21,42,7198,8,27,3090,22,310,50549,468,468,137643,15,30,5133,6,20,2112,10,229,39314
201610,26,2,3,Michigan,1287,1287,306672,24,48,5915,6,19,1365,62,1006,81058,887,887,226400,6,12,1760,4,13,1047,26,458,48466
