Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200309,01,3,6,Alabama,1800,1800,211051,10,20,1094,4,16,1009,30,468,23110,1364,1364,160130,6,12,576,4,16,1009,26,446,22190
200309,02,4,9,Alaska,140,140,28036,93,186,24376,1,3,292,7,35,5315,112,112,23516,91,182,24018,0,0,0,7,35,5315
200309,04,4,8,Arizona,5738,5738,864109,37,74,5107,6,22,878,49,768,50060,5326,5326,822319,21,42,3007,5,19,721,48,763,49870
200309,05,3,7,Arkansas,824,824,103801,24,48,3153,8,30,1344,34,454,17836,697,697,88766,23,46,3009,7,27,1184,28,378,14819
200309,06,4,9,California,11671,11671,2322715,98,196,20341,130,433,40470,178,2728,241473,10552,10552,2117097,85,170,18046,116,385,36807,151,2519,226029
200309,08,4,8,Colorado,2931,2931,528751,19,38,4787,24,87,8422,41,428,33721,2397,2397,448132,6,12,1293,17,62,6124,23,261,19683
200309,09,1,1,Connecticut,701,701,142422,13,26,1718,2,8,780,13,158,5843,584,584,115420,10,20,1187,2,8,780,8,129,4747
200309,10,3,5,Delaware,575,575,63559,2,4,180,0,0,0,2,13,280,364,364,46871,2,4,180,0,0,0,0,0,0
200309,11,3,5,District of Columbia,8,8,1043,0,0,0,0,0,0,1,90,5505,8,8,1043,0,0,0,0,0,0,1,90,5505
200309,12,3,5,Florida,12547,12547,1897743,164,328,31957,72,268,27098,161,3206,304539,11389,11389,1748898,153,306,30342,69,258,25701,144,2968,285177
200309,13,3,5,Georgia,7050,7050,841047,43,86,8132,20,79,3233,102,1985,115562,5958,5958,727873,39,78,4415,8,32,2344,87,1878,111081
200309,15,4,9,Hawaii,395,395,79780,0,0,0,0,0,0,1,8,625,395,395,79780,0,0,0,0,0,0,1,8,625
200309,16,4,8,Idaho,1233,1233,170475,13,26,2223,27,107,5067,2,54,3460,1020,1020,145537,9,18,1598,23,91,4136,1,39,2500
200309,17,2,3,Illinois,4210,4210,726791,97,194,18090,73,270,15504,65,1204,90649,3386,3386,587256,73,146,13775,64,240,13150,48,978,76899
200309,18,2,3,Indiana,3107,3107,468144,79,158,14991,66,232,15800,51,518,24155,2422,2422,373517,50,100,10754,62,220,14925,21,330,14452
200309,19,2,4,Iowa,1078,1078,156093,29,58,5689,15,59,3155,6,208,22027,918,918,136390,29,58,5689,15,59,3155,6,208,22027
200309,20,2,4,Kansas,753,753,123777,18,36,3451,5,19,2087,23,375,21222,674,674,112712,16,32,3087,5,19,2087,23,375,21222
200309,21,3,6,Kentucky,1605,1605,190679,24,48,2878,17,58,2160,18,238,13887,1201,1201,149928,21,42,2623,7,28,1425,12,193,11878
200309,22,3,7,Louisiana,1425,1425,171322,14,28,1573,4,13,425,39,679,31930,1157,1157,142194,14,28,1573,3,10,275,27,590,26490
200309,23,1,1,Maine,665,665,90719,6,12,883,4,13,1143,3,18,987,430,430,61645,4,8,633,2,7,755,1,7,350
200309,24,3,5,Maryland,1760,1760,241180,0,0,0,4,15,1306,25,488,29413,1518,1518,208927,0,0,0,4,15,1306,21,372,22659
200309,25,1,1,Massachusetts,1138,1138,229664,24,48,4251,14,47,4352,13,192,14178,684,684,152161,13,26,2489,10,33,3252,7,152,10091
200309,26,2,3,Michigan,4612,4612,651531,34,68,5475,37,133,12669,84,891,64909,3598,3598,520525,21,42,3409,34,124,12223,72,804,60120
