Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200406,01,3,6,Alabama,2207,2207,268062,5,10,547,2,7,341,25,583,36168,1156,1156,154721,4,8,418,1,4,252,20,548,34371
200406,02,4,9,Alaska,220,220,44875,22,44,7017,1,3,293,6,38,4712,165,165,35647,20,40,6725,0,0,0,3,23,2793
200406,04,4,8,Arizona,7532,7532,1182888,22,44,3835,58,207,14454,24,255,19833,7010,7010,1124095,21,42,3722,58,207,14454,21,228,18057
200406,05,3,7,Arkansas,879,879,127969,27,54,3981,3,12,415,25,294,9791,730,730,110281,24,48,3607,1,4,50,17,206,6270
200406,06,4,9,California,14090,14090,2808674,134,268,27962,114,379,34099,384,5076,537249,12160,12160,2436786,119,238,25218,95,321,29726,343,4647,504248
200406,08,4,8,Colorado,3605,3605,709105,19,38,3736,19,64,7040,37,800,73535,3337,3337,652972,15,30,2766,17,58,6358,35,786,72478
200406,09,1,1,Connecticut,906,906,202753,6,12,498,2,7,375,18,328,13821,777,777,177144,5,10,405,2,7,375,10,254,10435
200406,10,3,5,Delaware,737,737,85096,1,2,64,0,0,0,7,98,4081,579,579,71788,0,0,0,0,0,0,2,24,1585
200406,11,3,5,District of Columbia,2,2,1166,0,0,0,0,0,0,1,12,737,2,2,1166,0,0,0,0,0,0,1,12,737
200406,12,3,5,Florida,18002,18002,2686110,130,260,19944,102,388,48742,221,3971,331924,15947,15947,2351956,125,250,19160,92,350,44099,198,3610,297061
200406,13,3,5,Georgia,7844,7844,1000106,34,68,7514,20,76,3908,18,122,5152,6728,6728,865113,17,34,2096,8,30,2099,5,48,2885
200406,15,4,9,Hawaii,532,532,134529,0,0,0,0,0,0,28,492,89816,532,532,134529,0,0,0,0,0,0,28,492,89816
200406,16,4,8,Idaho,1563,1563,246210,30,60,5056,31,121,6171,6,60,3655,1252,1252,206317,28,56,4499,17,66,3362,1,14,1050
200406,17,2,3,Illinois,4491,4491,802292,63,126,10607,83,297,25829,53,706,68700,3161,3161,588940,46,92,7585,77,275,24124,39,593,61561
200406,18,2,3,Indiana,3336,3336,519990,42,84,7901,17,62,4079,27,257,14629,2719,2719,437194,30,60,6023,11,42,2678,17,182,10442
200406,19,2,4,Iowa,1303,1303,204476,32,64,6365,23,87,6381,8,120,11624,1195,1195,187675,32,64,6365,23,87,6381,8,120,11624
200406,20,2,4,Kansas,995,995,159092,28,56,5334,1,3,295,4,43,3272,880,880,134535,28,56,5334,1,3,295,4,43,3272
200406,21,3,6,Kentucky,1776,1776,232618,27,54,3740,12,36,1049,27,349,19890,1217,1217,170506,11,22,1184,0,0,0,20,312,18222
200406,22,3,7,Louisiana,1689,1689,205284,6,12,741,4,14,586,18,241,20419,1333,1333,158258,4,8,579,2,8,399,16,221,19210
200406,23,1,1,Maine,950,950,131896,9,18,1696,6,22,1883,5,25,2445,473,473,68971,2,4,340,2,8,570,0,0,0
200406,24,3,5,Maryland,2259,2259,332213,3,6,364,4,15,1226,35,545,35622,2058,2058,301242,2,4,210,3,11,1153,31,513,33982
200406,25,1,1,Massachusetts,1427,1427,279719,63,126,11330,25,84,7696,29,419,37899,789,789,169249,45,90,7506,14,47,4505,10,235,23056
200406,26,2,3,Michigan,4319,4319,666016,29,58,6016,18,68,6631,23,267,16139,3134,3134,515807,21,42,4896,11,43,3685,14,209,12861
