Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201902,01,3,6,Alabama,992,992,200162,4,8,1018,2,6,839,5,83,13692,618,618,117643,1,2,144,0,0,0,0,0,0
201902,02,4,9,Alaska,68,68,20168,3,6,879,2,6,880,1,8,1265,3,3,749,2,4,578,1,3,359,0,0,0
201902,04,4,8,Arizona,2374,2374,586645,12,24,2996,0,0,0,34,499,63300,2219,2219,548203,10,20,2517,0,0,0,26,407,49670
201902,05,3,7,Arkansas,482,482,104235,7,14,1507,14,55,5625,21,403,52911,328,328,77688,3,6,938,10,40,4815,16,357,49787
201902,06,4,9,California,3689,3689,1081507,93,186,33473,31,118,19918,131,2235,350696,3017,3017,892398,81,162,28574,26,102,16387,100,1900,302618
201902,08,4,8,Colorado,1820,1820,537058,3,6,658,14,47,8865,28,803,116032,1617,1617,480762,1,2,148,8,27,5932,26,793,114366
201902,09,1,1,Connecticut,168,168,54454,3,6,1437,3,11,2314,11,125,12592,130,130,32399,2,4,1145,3,11,2314,4,82,4560
201902,10,3,5,Delaware,429,429,55172,10,20,2605,2,7,922,11,78,5756,315,315,44297,10,20,2605,2,7,922,6,30,2882
201902,11,3,5,District of Columbia,35,35,8274,3,6,729,1,4,520,9,909,99433,35,35,8274,3,6,729,1,4,520,9,909,99433
201902,12,3,5,Florida,7432,7432,1943089,86,172,29785,16,59,10082,102,3436,492693,6768,6768,1766592,84,168,29042,14,52,8809,81,2910,439244
201902,13,3,5,Georgia,3248,3248,701857,14,28,5419,8,31,2136,30,1115,121002,2477,2477,545289,13,26,5287,7,27,1890,22,964,105992
201902,15,4,9,Hawaii,169,169,55201,1,2,400,0,0,0,1,75,8500,169,169,55201,1,2,400,0,0,0,1,75,8500
201902,16,4,8,Idaho,689,689,143862,3,6,851,4,13,954,8,81,7096,412,412,85420,2,4,711,0,0,0,1,24,1591
201902,17,2,3,Illinois,512,512,132584,8,16,2690,12,40,9234,27,661,68138,365,365,95201,6,12,1904,11,37,8818,17,557,57378
201902,18,2,3,Indiana,920,920,235651,16,32,4105,0,0,0,11,327,56558,832,832,216892,16,32,4105,0,0,0,6,289,53638
201902,19,2,4,Iowa,243,243,51445,0,0,0,0,0,0,1,5,400,135,135,31308,0,0,0,0,0,0,0,0,0
201902,20,2,4,Kansas,290,290,73558,7,14,1406,1,4,611,4,58,6005,164,164,40756,2,4,400,0,0,0,0,0,0
201902,21,3,6,Kentucky,529,529,107640,23,46,3855,2,7,471,12,188,13359,350,350,74713,21,42,3542,1,4,96,5,88,6260
201902,22,3,7,Louisiana,1275,1275,249964,16,32,3599,1,3,472,3,37,5648,738,738,142846,1,2,10,0,0,0,1,24,3100
201902,23,1,1,Maine,305,305,59555,1,2,269,1,3,750,3,70,10520,196,196,40248,0,0,0,1,3,750,1,53,9350
201902,24,3,5,Maryland,665,665,146566,11,22,1339,3,12,526,11,231,25794,653,653,143133,9,18,1073,3,12,526,11,231,25794
201902,25,1,1,Massachusetts,377,377,116536,11,22,3560,10,33,7185,28,384,72575,164,164,60027,3,6,908,8,27,6525,12,259,51913
201902,26,2,3,Michigan,832,832,278909,3,6,921,5,19,1238,45,754,71920,556,556,215293,2,4,670,4,16,1000,34,669,63203
201902,27,2,4,Minnesota,584,584,172152,1,2,410,2,6,2022,21,966,155509,445,445,135258,1,2,410,2,6,2022,10,892,152031
