Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200604,01,3,6,Alabama,2003,2003,303978,3,6,312,1,3,1000,37,467,59600,1360,1360,214889,3,6,312,1,3,1000,24,388,54077
200604,02,4,9,Alaska,185,185,48863,28,56,2897,3,11,1484,8,62,9063,146,146,42240,27,54,2701,2,8,1250,8,62,9063
200604,04,4,8,Arizona,5397,5397,967316,19,38,4008,39,126,13620,55,962,107557,4699,4699,858866,11,22,2425,37,119,13260,51,931,103926
200604,05,3,7,Arkansas,1030,1030,160553,43,86,9221,9,28,2058,12,99,6557,745,745,121882,32,64,7044,7,22,1677,5,38,2809
200604,06,4,9,California,10862,10862,2263038,104,208,24418,52,183,18704,166,3283,398939,8867,8867,1854735,87,174,20654,39,138,14378,114,2643,331732
200604,08,4,8,Colorado,2892,2892,626247,2,4,548,6,20,2509,37,725,84719,2548,2548,555094,1,2,331,4,14,1895,24,647,77056
200604,09,1,1,Connecticut,641,641,148329,10,20,1946,2,7,971,12,113,6035,404,404,88684,9,18,1581,1,4,720,4,41,2480
200604,10,3,5,Delaware,491,491,66684,8,16,1856,7,26,2890,9,90,10672,381,381,56484,8,16,1856,7,26,2890,8,82,10544
200604,11,3,5,District of Columbia,15,15,2110,0,0,0,0,0,0,2,13,1367,15,15,2110,0,0,0,0,0,0,2,13,1367
200604,12,3,5,Florida,14414,14414,2843253,66,132,11303,84,320,43223,237,4632,649321,12210,12210,2479386,52,104,8635,72,273,37460,186,3862,554937
200604,13,3,5,Georgia,7205,7205,1098566,17,34,2529,25,80,6880,45,1279,128990,5962,5962,939580,12,24,1690,11,37,4203,36,1212,125259
200604,15,4,9,Hawaii,460,460,114581,0,0,0,0,0,0,7,54,6157,392,392,93272,0,0,0,0,0,0,6,49,5184
200604,16,4,8,Idaho,1580,1580,273254,19,38,3674,9,36,2103,4,107,28897,1475,1475,254749,19,38,3674,9,36,2103,4,107,28897
200604,17,2,3,Illinois,3916,3916,762591,44,88,9990,59,185,16432,75,1118,105452,2980,2980,567648,33,66,8074,54,170,15151,57,957,89114
200604,18,2,3,Indiana,2315,2315,409933,57,114,9920,11,40,5021,28,237,15052,1851,1851,336380,53,106,9516,9,34,4561,23,201,12508
200604,19,2,4,Iowa,1024,1024,168745,25,50,4837,6,21,2193,4,54,5186,828,828,137883,24,48,4632,6,21,2193,3,48,4700
200604,20,2,4,Kansas,931,931,149780,10,20,2039,5,20,1779,1,8,562,824,824,128858,8,16,1618,1,4,220,0,0,0
200604,21,3,6,Kentucky,1117,1117,164860,1,2,129,4,15,1430,10,95,4796,730,730,108691,0,0,0,3,12,1073,5,51,2817
200604,22,3,7,Louisiana,1648,1648,223865,23,46,2067,2,6,278,14,148,10094,932,932,136885,7,14,810,0,0,0,4,23,2500
200604,23,1,1,Maine,699,699,106504,8,16,2121,4,14,1284,4,29,2201,326,326,52225,5,10,1280,3,11,1023,1,8,415
200604,24,3,5,Maryland,1930,1930,308122,2,4,342,2,6,857,13,912,80553,1744,1744,277839,2,4,342,1,3,600,5,819,69725
200604,25,1,1,Massachusetts,1050,1050,225825,33,66,7661,28,91,8553,41,1193,119453,573,573,139172,20,40,5158,24,78,7426,25,1024,103368
200604,26,2,3,Michigan,2435,2435,375125,9,18,1770,4,12,1471,32,449,30600,1602,1602,260735,6,12,1051,1,3,450,24,401,26806
