Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201103,01,3,6,Alabama,812,812,152558,0,0,0,0,0,0,17,192,13702,488,488,91238,0,0,0,0,0,0,11,112,8197
201103,02,4,9,Alaska,39,39,12328,1,2,377,0,0,0,0,0,0,26,26,9438,1,2,377,0,0,0,0,0,0
201103,04,4,8,Arizona,1044,1044,231490,0,0,0,0,0,0,4,197,23832,887,887,196915,0,0,0,0,0,0,1,133,14865
201103,05,3,7,Arkansas,416,416,67806,21,42,3481,1,3,173,19,428,22242,368,368,58548,19,38,3100,0,0,0,14,363,17323
201103,06,4,9,California,1965,1965,489917,29,58,12951,9,31,3984,79,2374,284126,1528,1528,389144,27,54,12260,7,25,3725,63,2229,261455
201103,08,4,8,Colorado,735,735,203022,16,32,7767,1,4,724,14,493,53858,617,617,166614,16,32,7767,1,4,724,12,481,53065
201103,09,1,1,Connecticut,225,225,59651,6,12,1767,4,12,2153,3,18,1187,186,186,47584,5,10,1610,4,12,2153,1,8,625
201103,10,3,5,Delaware,240,240,32652,6,12,869,0,0,0,2,10,395,186,186,25620,6,12,869,0,0,0,0,0,0
201103,11,3,5,District of Columbia,42,42,7289,4,8,3090,0,0,0,2,111,9087,42,42,7289,4,8,3090,0,0,0,2,111,9087
201103,12,3,5,Florida,2732,2732,639545,17,34,2962,13,50,9294,51,1413,144135,2144,2144,512115,6,12,1565,12,47,8760,41,1293,129084
201103,13,3,5,Georgia,1253,1253,213833,3,6,1122,3,11,988,19,384,17210,848,848,148249,2,4,972,2,8,938,17,366,15351
201103,15,4,9,Hawaii,134,134,37578,0,0,0,0,0,0,1,6,432,94,94,27679,0,0,0,0,0,0,0,0,0
201103,16,4,8,Idaho,268,268,52004,0,0,0,1,3,75,2,21,1611,221,221,44373,0,0,0,1,3,75,0,0,0
201103,17,2,3,Illinois,730,730,148686,24,48,5452,0,0,0,10,126,20582,471,471,98790,23,46,5240,0,0,0,3,64,15500
201103,18,2,3,Indiana,849,849,160186,3,6,581,2,6,900,19,262,23704,720,720,136624,3,6,581,1,3,900,18,255,23295
201103,19,2,4,Iowa,595,595,110321,10,20,1904,3,11,773,5,97,10351,506,506,94780,9,18,1752,3,11,773,2,67,7344
201103,20,2,4,Kansas,287,287,61946,19,38,5446,3,10,1048,9,122,8021,210,210,44704,8,16,1270,2,7,559,8,105,6618
201103,21,3,6,Kentucky,490,490,73731,15,30,1812,2,8,620,5,43,1724,364,364,51472,5,10,890,2,8,620,3,26,960
201103,22,3,7,Louisiana,937,937,160848,21,42,3446,0,0,0,6,97,4427,515,515,98677,15,30,2477,0,0,0,0,0,0
201103,23,1,1,Maine,126,126,22108,1,2,125,1,3,366,2,10,644,25,25,4624,0,0,0,0,0,0,0,0,0
201103,24,3,5,Maryland,706,706,123451,14,28,2102,1,3,269,10,251,48902,515,515,86544,14,28,2102,0,0,0,5,132,5600
201103,25,1,1,Massachusetts,318,318,83397,9,18,2167,1,3,250,10,94,9226,186,186,55063,6,12,1641,1,3,250,2,41,4018
201103,26,2,3,Michigan,608,608,123155,1,2,194,0,0,0,4,20,1349,444,444,91191,1,2,194,0,0,0,1,5,267
201103,27,2,4,Minnesota,412,412,87210,1,2,219,0,0,0,8,128,9680,263,263,60519,0,0,0,0,0,0,4,103,7425
