Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200404,01,3,6,Alabama,2349,2349,279118,12,24,1618,2,8,588,22,212,12448,1406,1406,176880,11,22,1554,2,8,588,9,88,6539
200404,02,4,9,Alaska,250,250,45414,27,54,5601,4,16,1522,5,102,8548,221,221,40618,25,50,5310,4,16,1522,5,102,8548
200404,04,4,8,Arizona,6602,6602,1050679,63,126,8406,73,268,21066,117,1384,86638,5703,5703,949398,53,106,7057,70,257,20613,115,1365,85362
200404,05,3,7,Arkansas,828,828,123887,22,44,2664,5,20,961,67,944,42368,670,670,105641,21,42,2617,4,16,771,67,944,42368
200404,06,4,9,California,14254,14254,2875156,74,148,16531,182,607,58620,226,3516,297379,12862,12862,2596630,55,110,12448,159,532,52800,189,3161,268057
200404,08,4,8,Colorado,3671,3671,695213,27,54,7259,20,71,7369,46,465,35860,3409,3409,644701,10,20,2138,13,44,4444,42,440,33896
200404,09,1,1,Connecticut,802,802,166083,6,12,676,6,23,1762,11,163,7932,693,693,134971,5,10,457,6,23,1762,4,112,5602
200404,10,3,5,Delaware,494,494,61136,0,0,0,4,16,1400,7,81,2705,355,355,49305,0,0,0,4,16,1400,2,24,1585
200404,11,3,5,District of Columbia,54,54,5568,0,0,0,0,0,0,4,673,121879,54,54,5568,0,0,0,0,0,0,4,673,121879
200404,12,3,5,Florida,15923,15923,2462529,212,424,39908,138,520,67958,268,4493,442814,13459,13459,2117840,207,414,39086,132,501,66212,233,3978,400992
200404,13,3,5,Georgia,7656,7656,987469,68,136,8783,17,64,2883,65,907,50986,6536,6536,853964,62,124,7715,5,18,975,50,814,48312
200404,15,4,9,Hawaii,655,655,126924,1,2,238,2,6,700,4,38,3349,448,448,85731,0,0,0,0,0,0,2,24,1917
200404,16,4,8,Idaho,1227,1227,195752,20,40,2800,27,106,5303,4,38,1979,797,797,141168,15,30,1990,6,24,1200,0,0,0
200404,17,2,3,Illinois,4320,4320,811205,47,94,10095,21,78,4748,32,422,38124,3131,3131,623849,23,46,5300,8,30,2438,17,278,29082
200404,18,2,3,Indiana,3135,3135,504560,85,170,15431,34,125,8682,63,688,38566,2481,2481,414947,70,140,13049,31,115,8274,52,592,33517
200404,19,2,4,Iowa,1368,1368,214317,53,106,9738,9,32,2726,19,350,30865,1139,1139,183781,51,102,9326,8,29,2287,18,344,30188
200404,20,2,4,Kansas,1096,1096,164500,27,54,4833,3,12,1251,1,5,299,1019,1019,154619,27,54,4833,3,12,1251,0,0,0
200404,21,3,6,Kentucky,1477,1477,193061,34,68,4279,19,73,2887,20,154,7593,1161,1161,160275,32,64,4082,8,30,1690,14,124,6137
200404,22,3,7,Louisiana,1655,1655,204054,46,92,6203,10,30,1793,12,70,8046,1337,1337,163748,45,90,6157,0,0,0,10,60,7500
200404,23,1,1,Maine,911,911,115294,20,40,2413,2,6,519,3,17,1389,476,476,59346,18,36,1912,0,0,0,0,0,0
200404,24,3,5,Maryland,2044,2044,294555,9,18,1252,4,14,873,65,670,40645,1820,1820,258243,9,18,1252,3,11,642,61,642,39292
200404,25,1,1,Massachusetts,1285,1285,247858,25,50,4737,13,43,3783,42,544,52207,656,656,138254,11,22,1934,6,22,2146,26,408,41122
200404,26,2,3,Michigan,4573,4573,684163,19,38,3174,23,84,8853,54,544,47124,3545,3545,556345,11,22,2093,16,60,6088,45,453,41597
