Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200501,01,3,6,Alabama,1942,1942,254897,2,4,214,0,0,0,58,1040,82222,1536,1536,207774,2,4,214,0,0,0,54,1000,80892
200501,02,4,9,Alaska,67,67,13251,6,12,1783,3,11,1482,0,0,0,36,36,8416,5,10,1638,3,11,1482,0,0,0
200501,04,4,8,Arizona,5475,5475,880113,17,34,3298,23,81,7323,32,514,42187,4656,4656,790762,8,16,2115,21,74,6998,29,480,39965
200501,05,3,7,Arkansas,813,813,123796,25,50,4394,6,21,950,32,518,27387,616,616,101943,21,42,3950,3,12,568,21,373,20972
200501,06,4,9,California,9564,9564,1909430,62,124,13313,46,158,15455,212,4232,386905,8724,8724,1746578,59,118,12322,40,140,14047,196,4007,366621
200501,08,4,8,Colorado,2691,2691,507373,6,12,1254,36,134,15796,29,444,31583,2509,2509,478966,4,8,832,35,131,15553,27,434,30615
200501,09,1,1,Connecticut,443,443,93856,4,8,488,3,12,1022,17,188,11871,379,379,81447,1,2,100,3,12,1022,12,143,9871
200501,10,3,5,Delaware,562,562,64735,0,0,0,0,0,0,2,10,160,551,551,63770,0,0,0,0,0,0,0,0,0
200501,11,3,5,District of Columbia,7,7,2026,0,0,0,1,4,201,1,126,8346,7,7,2026,0,0,0,1,4,201,1,126,8346
200501,12,3,5,Florida,14913,14913,2432700,107,214,17718,94,343,33564,258,5049,492889,13507,13507,2209655,103,206,17131,88,324,31579,233,4642,458563
200501,13,3,5,Georgia,6782,6782,926099,18,36,2687,9,34,1860,19,582,30812,6301,6301,871150,14,28,2180,8,31,1695,11,497,27200
200501,15,4,9,Hawaii,419,419,82822,10,20,1989,0,0,0,0,0,0,384,384,72610,10,20,1989,0,0,0,0,0,0
200501,16,4,8,Idaho,977,977,158627,17,34,3836,4,16,775,4,65,4040,863,863,140440,16,32,3746,4,16,775,3,60,3798
200501,17,2,3,Illinois,2176,2176,428661,19,38,4211,53,184,16774,49,622,44488,1799,1799,366342,15,30,3458,51,177,16253,39,538,39005
200501,18,2,3,Indiana,1511,1511,248366,24,48,4580,16,62,3802,10,372,19034,1318,1318,221987,19,38,3806,14,55,3282,7,349,17877
200501,19,2,4,Iowa,433,433,68810,2,4,203,2,7,581,7,95,7342,373,373,60359,2,4,203,2,7,581,6,87,6855
200501,20,2,4,Kansas,507,507,88295,6,12,1465,5,16,1361,11,58,2475,472,472,83824,5,10,1360,5,16,1361,11,58,2475
200501,21,3,6,Kentucky,1145,1145,148639,11,22,1760,3,12,600,7,89,5016,985,985,130277,7,14,1283,3,12,600,2,57,3776
200501,22,3,7,Louisiana,1955,1955,235244,9,18,1199,0,0,0,17,100,3637,1827,1827,218821,9,18,1199,0,0,0,15,90,3090
200501,23,1,1,Maine,372,372,56657,3,6,454,3,10,816,2,12,806,193,193,31265,1,2,40,1,4,295,0,0,0
200501,24,3,5,Maryland,1343,1343,220955,5,10,1426,4,13,1018,19,183,10651,1269,1269,208084,5,10,1426,3,10,748,18,171,10065
200501,25,1,1,Massachusetts,811,811,171156,30,60,6027,13,47,4183,20,626,58138,559,559,127074,16,32,3501,5,20,2166,6,419,40066
200501,26,2,3,Michigan,2107,2107,327524,12,24,2257,18,66,7603,21,323,18840,1634,1634,264774,10,20,1941,15,56,6222,16,283,16135
