Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200403,01,3,6,Alabama,2284,2284,286244,346,692,42831,2,7,546,16,378,20196,1281,1281,172187,346,692,42831,1,4,320,11,336,18139
200403,02,4,9,Alaska,146,146,24185,11,22,2784,3,10,879,1,20,1564,99,99,17135,8,16,2405,3,10,879,1,20,1564
200403,04,4,8,Arizona,7407,7407,1128128,18,36,3294,52,166,15152,28,187,11943,6967,6967,1082554,17,34,3204,51,163,14850,26,171,11393
200403,05,3,7,Arkansas,913,913,131753,14,28,2008,15,49,2251,32,273,9749,688,688,104885,10,20,1456,12,38,1690,24,184,6286
200403,06,4,9,California,14368,14368,2938205,96,192,20743,134,500,43390,304,3659,364983,12828,12828,2647339,80,160,17274,116,436,37527,280,3451,348561
200403,08,4,8,Colorado,3688,3688,673357,60,120,12248,33,118,9791,52,374,33162,3044,3044,573664,44,88,7797,25,90,7273,34,255,20609
200403,09,1,1,Connecticut,766,766,167926,4,8,903,1,3,443,12,156,11126,662,662,146413,3,6,538,1,3,443,7,108,9462
200403,10,3,5,Delaware,758,758,84572,0,0,0,0,0,0,3,15,330,503,503,64275,0,0,0,0,0,0,0,0,0
200403,11,3,5,District of Columbia,38,38,3578,0,0,0,0,0,0,0,0,0,38,38,3578,0,0,0,0,0,0,0,0,0
200403,12,3,5,Florida,15418,15418,2441304,181,362,32849,76,287,41431,229,3809,367756,13595,13595,2178933,176,352,32044,70,265,39036,204,3468,335975
200403,13,3,5,Georgia,8791,8791,1115748,41,82,8257,25,94,3741,45,1117,63273,7420,7420,969039,36,72,4320,11,42,2102,30,977,56566
200403,15,4,9,Hawaii,516,516,85753,0,0,0,0,0,0,27,291,40423,361,361,49990,0,0,0,0,0,0,25,281,39450
200403,16,4,8,Idaho,1223,1223,186111,16,32,2530,39,146,6110,9,78,3720,963,963,154696,15,30,2442,24,96,4219,2,17,1157
200403,17,2,3,Illinois,4289,4289,764098,62,124,12787,52,172,14291,93,1123,89551,3419,3419,625512,49,98,10493,48,158,13394,75,956,78502
200403,18,2,3,Indiana,3000,3000,474502,44,88,9583,19,73,4525,43,436,16929,2395,2395,393092,31,62,7381,16,64,4232,23,315,10742
200403,19,2,4,Iowa,1211,1211,179003,3,6,505,7,26,2049,25,264,10795,1106,1106,165069,3,6,505,7,26,2049,25,264,10795
200403,20,2,4,Kansas,1060,1060,169754,15,30,2443,1,3,293,12,161,10192,1010,1010,162598,15,30,2443,1,3,293,11,154,10095
200403,21,3,6,Kentucky,2066,2066,250273,21,42,3397,9,36,1621,18,168,7603,1879,1879,230271,21,42,3397,8,32,1333,14,147,6651
200403,22,3,7,Louisiana,1710,1710,216570,23,46,2833,12,37,648,14,103,10364,1338,1338,170992,21,42,2683,1,3,209,1,16,5200
200403,23,1,1,Maine,591,591,81138,6,12,1065,5,17,1999,5,31,1796,308,308,45240,4,8,710,2,8,1325,0,0,0
200403,24,3,5,Maryland,1906,1906,280709,4,8,590,4,14,1011,24,384,55159,1493,1493,228460,2,4,276,3,10,696,20,348,53865
200403,25,1,1,Massachusetts,1227,1227,240241,27,54,5450,20,71,7390,11,92,8311,781,781,166057,17,34,3932,17,62,6591,3,42,4580
200403,26,2,3,Michigan,3656,3656,540492,24,48,4363,12,43,5147,52,497,35215,2670,2670,415077,16,32,3007,10,37,4658,38,399,28628
