Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200909,01,3,6,Alabama,691,691,107549,0,0,0,0,0,0,12,169,13396,573,573,88863,0,0,0,0,0,0,9,135,11256
200909,02,4,9,Alaska,62,62,15139,7,14,2771,3,12,1887,1,5,786,51,51,12909,7,14,2771,3,12,1887,1,5,786
200909,04,4,8,Arizona,1062,1062,217282,1,2,210,6,21,2225,10,95,7679,934,934,195003,0,0,0,6,21,2225,9,90,7225
200909,05,3,7,Arkansas,412,412,65129,9,18,1140,0,0,0,3,28,1326,367,367,58064,8,16,1002,0,0,0,3,28,1326
200909,06,4,9,California,2064,2064,532774,43,86,16611,5,17,2062,58,522,63443,1751,1751,452701,39,78,15450,3,11,1361,46,453,53894
200909,08,4,8,Colorado,762,762,185299,2,4,696,2,7,836,17,137,10504,697,697,168135,2,4,696,2,7,836,15,127,6533
200909,09,1,1,Connecticut,188,188,54765,6,12,1212,2,7,916,3,20,1147,154,154,41985,5,10,962,2,7,916,1,10,775
200909,10,3,5,Delaware,298,298,37512,3,6,896,1,4,364,4,28,4361,287,287,36344,3,6,896,1,4,364,3,21,3920
200909,11,3,5,District of Columbia,25,25,4503,36,72,6610,0,0,0,1,23,1874,25,25,4503,36,72,6610,0,0,0,1,23,1874
200909,12,3,5,Florida,2525,2525,573006,10,20,2356,8,31,5812,42,464,36238,2264,2264,523023,7,14,1796,7,28,5469,35,413,31469
200909,13,3,5,Georgia,1266,1266,210863,3,6,459,4,14,1353,24,321,33390,985,985,169153,1,2,115,2,8,1050,20,301,31897
200909,15,4,9,Hawaii,241,241,78315,0,0,0,1,3,376,1,11,1061,184,184,58521,0,0,0,0,0,0,0,0,0
200909,16,4,8,Idaho,482,482,85453,2,4,367,1,3,175,0,0,0,367,367,65249,1,2,263,0,0,0,0,0,0
200909,17,2,3,Illinois,841,841,176695,4,8,707,2,6,955,10,456,111281,639,639,136603,3,6,470,2,6,955,6,422,108463
200909,18,2,3,Indiana,885,885,167859,6,12,1484,2,7,858,20,250,27131,720,720,139083,5,10,1297,2,7,858,17,229,25373
200909,19,2,4,Iowa,559,559,102678,22,44,4305,10,34,3373,6,257,32663,508,508,93416,21,42,4063,10,34,3373,6,257,32663
200909,20,2,4,Kansas,276,276,51538,2,4,398,3,11,821,7,125,5992,243,243,45926,2,4,398,3,11,821,6,120,5529
200909,21,3,6,Kentucky,438,438,69481,2,4,369,7,26,1740,5,42,1764,384,384,60699,1,2,176,7,26,1740,3,32,1360
200909,22,3,7,Louisiana,952,952,142452,42,84,6270,2,8,540,3,25,2372,845,845,127135,40,80,5868,2,8,540,1,6,1300
200909,23,1,1,Maine,282,282,45512,1,2,173,4,16,1780,1,5,219,164,164,29355,0,0,0,4,16,1780,0,0,0
200909,24,3,5,Maryland,730,730,141263,0,0,0,1,4,350,5,69,6963,618,618,117927,0,0,0,1,4,350,1,14,1400
200909,25,1,1,Massachusetts,435,435,114200,8,16,2215,2,6,1216,12,92,12430,264,264,77514,4,8,1466,1,3,450,4,51,8703
200909,26,2,3,Michigan,698,698,119315,0,0,0,3,11,1215,6,80,9194,437,437,77262,0,0,0,2,8,765,3,65,8024
200909,27,2,4,Minnesota,817,817,168068,1,2,305,1,3,299,5,152,11639,712,712,150492,1,2,305,1,3,299,4,147,11066
