Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201602,01,3,6,Alabama,875,875,179740,10,20,2236,27,106,12437,3,30,2977,708,708,146466,10,20,2236,27,106,12437,0,0,0
201602,02,4,9,Alaska,78,78,22108,2,4,596,3,9,592,2,16,2530,8,8,1895,0,0,0,2,6,77,0,0,0
201602,04,4,8,Arizona,1857,1857,488908,9,36,3771,5,34,6237,19,460,51267,1739,1739,462398,8,34,3672,5,34,6237,5,317,35156
201602,05,3,7,Arkansas,533,533,107651,38,76,7244,6,20,1160,34,306,16043,469,469,97877,38,76,7244,6,20,1160,32,280,14320
201602,06,4,9,California,3523,3523,992196,63,126,28408,33,106,19033,131,4929,865708,3029,3029,854239,59,118,26577,29,94,16669,101,4367,778531
201602,08,4,8,Colorado,1582,1582,468096,7,14,1908,6,21,3146,35,732,99883,1457,1457,444181,5,10,1251,3,12,1818,31,691,95872
201602,09,1,1,Connecticut,114,114,37109,2,4,640,1,3,420,13,300,30092,88,88,27592,2,4,640,1,3,420,11,279,28812
201602,10,3,5,Delaware,371,371,45373,5,10,1144,4,15,1665,7,106,6082,274,274,37020,5,10,1144,3,12,1475,3,57,2481
201602,11,3,5,District of Columbia,24,24,5416,3,6,660,0,0,0,0,0,0,24,24,5416,3,6,660,0,0,0,0,0,0
201602,12,3,5,Florida,5560,5560,1436265,28,56,7572,15,55,10660,150,3782,617823,4943,4943,1283304,26,52,6892,11,40,8105,132,3497,585679
201602,13,3,5,Georgia,2843,2843,600165,1,2,150,1,4,182,37,1979,197405,2421,2421,517739,0,0,0,0,0,0,29,1877,190169
201602,15,4,9,Hawaii,183,183,71295,7,14,5164,0,0,0,2,67,15176,118,118,39921,6,12,3056,0,0,0,1,54,11087
201602,16,4,8,Idaho,538,538,114165,7,14,1757,6,23,1931,9,234,17972,512,512,108527,7,14,1757,5,20,1505,8,208,14690
201602,17,2,3,Illinois,558,558,142911,2,4,579,10,35,7529,14,539,47651,394,394,106223,0,0,0,10,35,7529,11,517,44993
201602,18,2,3,Indiana,874,874,222535,6,12,1296,2,6,1142,18,244,24475,808,808,209437,5,10,1184,2,6,1142,13,215,22112
201602,19,2,4,Iowa,350,350,77758,4,8,710,0,0,0,5,102,11279,290,290,66043,4,8,710,0,0,0,5,102,11279
201602,20,2,4,Kansas,377,377,90098,3,6,510,1,3,443,17,170,13042,276,276,69856,1,2,100,0,0,0,15,160,12378
201602,21,3,6,Kentucky,551,551,96828,11,22,1518,3,9,1058,24,191,11561,328,328,57911,5,10,698,2,6,680,3,22,1105
201602,22,3,7,Louisiana,1041,1041,204292,6,12,1210,3,10,1574,2,26,4735,607,607,114690,1,2,300,1,4,1000,0,0,0
201602,23,1,1,Maine,171,171,45089,1,2,199,2,8,600,2,11,919,103,103,33246,0,0,0,2,8,600,0,0,0
201602,24,3,5,Maryland,652,652,159741,0,0,0,0,0,0,9,438,67622,608,608,151973,0,0,0,0,0,0,4,355,59165
201602,25,1,1,Massachusetts,413,413,122815,23,46,6036,12,41,3866,21,368,59332,214,214,72702,18,36,4674,10,34,2887,7,237,43063
201602,26,2,3,Michigan,893,893,219401,35,70,10565,1,4,610,29,355,45695,732,732,183980,34,68,10475,1,4,610,8,109,13415
201602,27,2,4,Minnesota,675,675,193042,0,0,0,1,3,687,16,398,37888,547,547,164109,0,0,0,0,0,0,4,337,34898
