Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201106,01,3,6,Alabama,732,732,128542,1,2,266,0,0,0,13,201,15915,467,467,84317,0,0,0,0,0,0,8,56,5312
201106,02,4,9,Alaska,81,81,21266,5,10,1963,1,4,400,0,0,0,57,57,15918,5,10,1963,1,4,400,0,0,0
201106,04,4,8,Arizona,1096,1096,247924,2,4,466,0,0,0,7,87,11531,759,759,186390,0,0,0,0,0,0,0,0,0
201106,05,3,7,Arkansas,401,401,68501,13,26,2134,9,35,2852,5,69,4493,284,284,44814,10,20,1436,8,31,2550,2,48,3200
201106,06,4,9,California,2292,2292,640087,36,72,11687,23,81,14300,161,2656,386037,1677,1677,481915,33,66,10013,17,63,12652,107,2237,337233
201106,08,4,8,Colorado,980,980,271882,1,2,221,6,19,2690,15,170,13483,779,779,216233,1,2,221,5,16,2346,9,132,9475
201106,09,1,1,Connecticut,213,213,54916,3,6,445,2,6,1122,11,193,28800,131,131,33076,3,6,445,2,6,1122,3,28,2491
201106,10,3,5,Delaware,232,232,28231,7,14,1250,0,0,0,5,31,2978,123,123,16340,7,14,1250,0,0,0,3,18,2535
201106,11,3,5,District of Columbia,5,5,793,1,2,230,0,0,0,3,610,47738,5,5,793,1,2,230,0,0,0,3,610,47738
201106,12,3,5,Florida,2954,2954,713512,26,52,4229,39,145,13815,54,721,78512,2242,2242,521545,20,40,3578,8,32,4960,32,556,62884
201106,13,3,5,Georgia,1513,1513,252592,3,6,420,1,3,136,20,344,26418,901,901,162618,0,0,0,0,0,0,12,248,19331
201106,15,4,9,Hawaii,195,195,60018,2,4,935,0,0,0,19,223,26500,18,18,3997,0,0,0,0,0,0,1,7,1465
201106,16,4,8,Idaho,389,389,76399,3,6,822,6,23,1244,5,51,5470,248,248,48463,2,4,494,5,20,1028,0,0,0
201106,17,2,3,Illinois,680,680,157262,14,28,4220,6,19,2145,23,401,55499,386,386,92788,13,26,3920,5,16,1770,12,297,46091
201106,18,2,3,Indiana,963,963,175777,8,16,1578,6,21,1694,15,133,14513,753,753,142004,3,6,605,2,8,1241,9,82,11909
201106,19,2,4,Iowa,637,637,121778,9,18,1999,2,6,369,6,107,9260,439,439,86020,4,8,1014,0,0,0,3,73,7214
201106,20,2,4,Kansas,332,332,67436,7,14,1246,1,3,479,3,24,1460,187,187,36046,4,8,649,0,0,0,0,0,0
201106,21,3,6,Kentucky,501,501,70286,14,28,2004,18,61,3215,9,113,9211,295,295,37167,12,24,1775,7,28,1365,3,22,1523
201106,22,3,7,Louisiana,992,992,174763,48,96,5976,2,6,492,8,107,9133,421,421,83143,44,88,5400,0,0,0,1,43,4821
201106,23,1,1,Maine,196,196,34311,2,4,650,0,0,0,2,19,1116,74,74,11904,0,0,0,0,0,0,0,0,0
201106,24,3,5,Maryland,680,680,131451,3,6,871,0,0,0,4,65,7276,550,550,108103,1,2,275,0,0,0,1,16,1500
201106,25,1,1,Massachusetts,432,432,110798,8,16,2862,4,12,2076,32,470,41494,178,178,49099,4,8,2069,2,6,1416,9,154,11001
201106,26,2,3,Michigan,767,767,149593,5,10,1003,4,15,1364,9,73,5487,389,389,82718,2,4,466,0,0,0,2,11,747
201106,27,2,4,Minnesota,740,740,160326,1,2,219,2,7,832,9,192,15704,453,453,98757,0,0,0,1,4,588,2,103,8185
