Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201507,01,3,6,Alabama,908,908,189863,1,2,404,2,8,420,8,86,8355,672,672,140476,1,2,404,1,4,220,3,26,2110
201507,02,4,9,Alaska,100,100,28810,3,6,825,2,7,970,1,15,2371,29,29,6229,3,6,825,1,4,455,0,0,0
201507,04,4,8,Arizona,2164,2164,546141,11,22,1685,3,12,2209,43,916,114539,1943,1943,495278,9,18,1488,3,12,2209,26,586,76819
201507,05,3,7,Arkansas,564,564,124818,11,22,1388,5,20,1068,5,244,31155,528,528,120241,11,22,1388,5,20,1068,3,234,30613
201507,06,4,9,California,4256,4256,1313817,76,152,25354,26,82,13743,97,4063,612941,3609,3609,1151717,73,146,23522,21,66,11047,69,3554,531577
201507,08,4,8,Colorado,1962,1962,572391,10,20,3189,1,3,1271,26,752,93003,1845,1845,542110,8,16,2531,1,3,1271,24,742,91927
201507,09,1,1,Connecticut,259,259,83660,4,8,830,1,4,354,15,425,48789,185,185,52055,3,6,703,0,0,0,10,394,46547
201507,10,3,5,Delaware,406,406,50494,10,20,2254,4,16,1483,4,55,4133,299,299,41310,10,20,2254,3,12,1229,0,0,0
201507,11,3,5,District of Columbia,8,8,1805,1,2,220,0,0,0,4,307,29085,8,8,1805,1,2,220,0,0,0,4,307,29085
201507,12,3,5,Florida,5890,5890,1578235,23,46,7161,27,104,20196,100,2299,254420,5310,5310,1435856,19,38,5702,24,95,18806,80,1974,227817
201507,13,3,5,Georgia,3017,3017,607764,2,4,550,4,15,2619,33,1259,153517,2500,2500,507054,1,2,400,3,12,2466,23,1102,142685
201507,15,4,9,Hawaii,251,251,88400,1,2,350,0,0,0,0,0,0,228,228,75848,1,2,350,0,0,0,0,0,0
201507,16,4,8,Idaho,640,640,137460,0,0,0,9,35,2640,17,246,21006,563,563,123563,0,0,0,8,32,2504,16,231,19836
201507,17,2,3,Illinois,1109,1109,287628,11,22,2949,14,46,7620,21,474,36927,818,818,220918,6,12,1554,14,46,7620,14,398,24346
201507,18,2,3,Indiana,1124,1124,256471,19,38,4797,5,18,2323,21,195,17087,989,989,229308,18,36,4684,5,18,2323,13,141,12977
201507,19,2,4,Iowa,714,714,175947,15,30,4638,3,10,712,4,47,4323,598,598,154175,13,26,4360,1,4,297,2,36,3051
201507,20,2,4,Kansas,503,503,120874,11,22,2242,1,3,300,9,184,12849,408,408,98393,10,20,1904,1,3,300,9,184,12849
201507,21,3,6,Kentucky,577,577,110852,6,12,953,4,14,1171,25,254,21277,419,419,86581,4,8,440,3,11,795,19,192,17309
201507,22,3,7,Louisiana,1188,1188,252377,17,34,3169,6,19,1558,8,135,17612,747,747,160042,11,22,2130,3,9,245,4,80,6158
201507,23,1,1,Maine,294,294,69411,2,4,482,1,3,310,6,43,3920,155,155,44359,1,2,283,0,0,0,4,33,3044
201507,24,3,5,Maryland,1008,1008,215986,6,12,1223,1,3,393,19,342,49451,929,929,201974,1,2,300,0,0,0,6,210,33379
201507,25,1,1,Massachusetts,745,745,200933,18,36,4757,6,19,2785,16,347,88448,483,483,135794,14,28,3722,5,16,2490,4,216,73553
201507,26,2,3,Michigan,1514,1514,365929,19,38,6638,5,18,1471,43,603,77746,1131,1131,284585,8,16,2405,3,12,1200,12,165,22468
