Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200405,01,3,6,Alabama,2088,2088,257075,10,20,1636,1,4,329,20,380,27371,1563,1563,204440,10,20,1636,1,4,329,17,358,26393
200405,02,4,9,Alaska,206,206,43000,142,284,43054,5,19,1471,16,138,13929,154,154,34301,141,282,42909,4,16,1179,16,138,13929
200405,04,4,8,Arizona,6849,6849,1060837,36,72,5688,11,37,2622,10,166,12772,5735,5735,937304,27,54,4521,9,29,2250,8,148,11564
200405,05,3,7,Arkansas,888,888,122093,9,18,1337,5,18,778,72,853,35785,677,677,96507,6,12,963,2,7,269,60,714,30263
200405,06,4,9,California,14221,14221,2823721,99,198,20967,113,384,37573,234,3266,283423,12982,12982,2566088,74,148,15498,95,325,32762,190,2900,257102
200405,08,4,8,Colorado,3936,3936,754124,23,46,4755,22,85,7228,35,278,21173,3457,3457,672139,17,34,3276,16,62,4734,31,243,18690
200405,09,1,1,Connecticut,716,716,148277,7,14,974,5,16,1661,11,129,6460,566,566,119387,3,6,598,5,16,1661,2,28,1892
200405,10,3,5,Delaware,679,679,81606,0,0,0,0,0,0,6,71,1395,518,518,67906,0,0,0,0,0,0,0,0,0
200405,11,3,5,District of Columbia,19,19,2597,0,0,0,0,0,0,0,0,0,19,19,2597,0,0,0,0,0,0,0,0,0
200405,12,3,5,Florida,16196,16196,2460405,166,332,29470,114,438,56678,303,5274,481824,14316,14316,2171138,160,320,28474,109,421,55318,271,4712,434589
200405,13,3,5,Georgia,7346,7346,977360,40,80,8527,21,79,4113,78,2319,148961,6057,6057,830777,35,70,4585,6,23,2150,60,2147,142840
200405,15,4,9,Hawaii,451,451,91779,0,0,0,1,4,467,5,193,17732,214,214,44616,0,0,0,0,0,0,3,180,16402
200405,16,4,8,Idaho,1372,1372,209311,15,30,2612,30,109,4992,3,37,1365,1054,1054,161674,12,24,2091,18,72,3501,2,32,920
200405,17,2,3,Illinois,4058,4058,737445,85,170,13116,69,230,16557,73,933,54322,2956,2956,558211,69,138,10307,62,207,15232,56,799,44979
200405,18,2,3,Indiana,2962,2962,457051,62,124,12129,15,55,4427,30,382,28662,2208,2208,352795,48,96,10002,9,35,3150,21,304,20166
200405,19,2,4,Iowa,1391,1391,210779,7,14,1449,3,9,772,5,55,3412,1186,1186,182935,6,12,1243,2,6,505,4,50,2980
200405,20,2,4,Kansas,904,904,135814,14,28,2541,5,17,1574,3,101,5980,817,817,124060,13,26,2411,4,13,1355,3,101,5980
200405,21,3,6,Kentucky,1713,1713,223092,10,20,965,27,104,4790,22,349,22365,1427,1427,193419,8,16,818,16,61,3593,17,319,20833
200405,22,3,7,Louisiana,1626,1626,190214,125,250,15959,4,13,707,12,82,7069,1232,1232,139842,123,246,15776,2,6,459,9,52,5200
200405,23,1,1,Maine,810,810,110773,5,10,850,7,27,2080,10,127,9599,399,399,57806,0,0,0,4,16,1126,8,114,8771
200405,24,3,5,Maryland,1915,1915,271774,2,4,398,0,0,0,10,146,10467,1725,1725,242158,1,2,60,0,0,0,6,111,8694
200405,25,1,1,Massachusetts,1254,1254,244052,29,58,5386,13,43,4159,46,506,44639,686,686,146138,15,30,2564,6,19,1961,31,382,34416
200405,26,2,3,Michigan,4314,4314,656285,43,86,9507,22,73,7549,27,293,17635,3194,3194,519103,37,74,8653,13,46,4536,19,225,13022
