Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200512,01,3,6,Alabama,1762,1762,252039,0,0,0,5,20,1750,13,269,16123,1419,1419,214590,0,0,0,5,20,1750,11,244,15182
200512,02,4,9,Alaska,135,135,28533,18,36,6635,11,42,4859,5,69,10845,111,111,24471,18,36,6635,11,42,4859,5,69,10845
200512,04,4,8,Arizona,5873,5873,949099,36,72,6324,39,135,13570,41,678,61524,4719,4719,879794,24,48,4654,34,119,12478,35,612,55916
200512,05,3,7,Arkansas,1014,1014,149812,16,32,2627,5,15,652,58,675,23212,767,767,119697,9,18,1447,3,9,180,46,552,17310
200512,06,4,9,California,9271,9271,1943547,102,204,21592,112,396,41675,198,2892,324669,7750,7750,1662308,87,174,18415,84,293,32126,138,2389,279448
200512,08,4,8,Colorado,2780,2780,560186,28,56,7078,10,34,4011,32,403,39155,2428,2428,479190,16,32,3590,5,17,2134,29,384,37453
200512,09,1,1,Connecticut,533,533,118731,9,18,1323,2,6,765,24,453,29390,431,431,94765,8,16,1166,2,6,765,8,298,19776
200512,10,3,5,Delaware,547,547,67652,0,0,0,0,0,0,3,31,1421,216,216,27440,0,0,0,0,0,0,2,24,1309
200512,11,3,5,District of Columbia,2,2,240,1,2,250,0,0,0,2,572,43800,2,2,240,1,2,250,0,0,0,2,572,43800
200512,12,3,5,Florida,14404,14404,2536477,57,114,10306,78,289,41133,273,5369,863819,11969,11969,2141190,45,90,7835,60,221,31703,224,4664,787857
200512,13,3,5,Georgia,6644,6644,941651,21,42,4663,9,33,2295,28,625,42552,5824,5824,830738,15,30,3815,5,20,1766,19,517,34656
200512,15,4,9,Hawaii,459,459,100903,12,24,2548,12,48,4472,17,242,31593,459,459,100903,12,24,2548,12,48,4472,17,242,31593
200512,16,4,8,Idaho,1080,1080,188329,24,48,4633,14,55,3419,6,72,7786,879,879,150451,24,48,4633,10,40,2678,3,50,6684
200512,17,2,3,Illinois,2913,2913,583714,73,146,16481,81,273,23457,81,1709,134700,2507,2507,511151,44,88,9298,77,261,22226,66,1581,124934
200512,18,2,3,Indiana,1715,1715,293507,29,58,6313,8,29,2465,40,371,19431,1560,1560,270173,20,40,4959,5,20,1791,36,329,17480
200512,19,2,4,Iowa,505,505,83962,6,12,1327,7,25,1770,5,66,3462,402,402,68979,6,12,1327,7,25,1770,3,48,2503
200512,20,2,4,Kansas,718,718,117225,29,58,6153,17,62,5271,25,221,14229,588,588,97740,9,18,1308,14,53,4380,23,209,13872
200512,21,3,6,Kentucky,875,875,124423,9,18,1007,6,22,1083,9,95,4933,499,499,72051,7,14,756,5,19,798,3,17,1848
200512,22,3,7,Louisiana,1361,1361,159651,11,22,1203,3,12,441,6,48,2696,727,727,95706,8,16,782,2,8,144,1,5,440
200512,23,1,1,Maine,424,424,64564,10,20,2052,2,7,586,11,58,6128,206,206,32710,9,18,1826,1,4,325,6,30,3900
200512,24,3,5,Maryland,1746,1746,262423,23,46,4307,1,4,334,17,371,22228,1677,1677,253847,22,44,4162,1,4,334,11,311,16630
200512,25,1,1,Massachusetts,980,980,201721,36,72,7302,9,29,4047,59,1123,97396,656,656,143957,24,48,5023,6,19,3175,38,871,76805
200512,26,2,3,Michigan,1783,1783,291032,8,16,1484,8,30,2994,17,190,12053,1247,1247,218168,4,8,981,6,23,2248,10,126,7453
