Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201111,01,3,6,Alabama,550,550,100393,1,2,266,1,4,332,18,273,26289,443,443,80013,0,0,0,1,4,332,15,218,22071
201111,02,4,9,Alaska,29,29,6881,1,2,260,1,4,400,0,0,0,18,18,4563,1,2,260,1,4,400,0,0,0
201111,04,4,8,Arizona,740,740,169184,7,14,1646,0,0,0,20,405,50064,643,643,149588,7,14,1646,0,0,0,17,368,46363
201111,05,3,7,Arkansas,257,257,53934,7,14,1884,7,26,3082,21,274,13775,237,237,48423,7,14,1884,7,26,3082,21,274,13775
201111,06,4,9,California,1531,1531,423581,19,38,7428,31,111,18172,53,2571,339551,1240,1240,359665,17,34,6428,28,102,15133,38,2348,310972
201111,08,4,8,Colorado,724,724,226303,10,20,3668,1,3,392,12,186,14205,644,644,205904,10,20,3668,1,3,392,10,172,13393
201111,09,1,1,Connecticut,203,203,60403,11,22,1836,1,4,289,6,41,2738,159,159,45083,10,20,1669,1,4,289,2,12,289
201111,10,3,5,Delaware,209,209,26923,5,10,576,1,3,545,6,47,5418,163,163,21034,5,10,576,1,3,545,3,32,4868
201111,11,3,5,District of Columbia,4,4,762,0,0,0,0,0,0,3,862,169895,4,4,762,0,0,0,0,0,0,3,862,169895
201111,12,3,5,Florida,2338,2338,595930,11,22,2729,25,78,6540,64,1406,157537,2088,2088,531218,7,14,2381,5,18,1942,47,1277,144049
201111,13,3,5,Georgia,1111,1111,193519,1,2,166,2,7,636,13,379,35430,805,805,147117,0,0,0,1,4,500,6,300,30305
201111,15,4,9,Hawaii,115,115,37022,0,0,0,0,0,0,10,269,33595,73,73,23988,0,0,0,0,0,0,5,207,29937
201111,16,4,8,Idaho,294,294,57796,0,0,0,7,28,1711,1,13,1006,266,266,53092,0,0,0,7,28,1711,0,0,0
201111,17,2,3,Illinois,556,556,140041,13,26,3951,3,9,853,18,703,112473,401,401,106203,11,22,3488,2,6,590,8,631,106116
201111,18,2,3,Indiana,691,691,135122,68,136,14046,6,23,2450,13,188,14531,619,619,122840,67,134,13807,5,20,1998,10,172,13599
201111,19,2,4,Iowa,400,400,77129,10,20,2306,3,11,1097,7,148,10609,348,348,68193,7,14,1635,3,11,1097,5,132,9534
201111,20,2,4,Kansas,225,225,42166,5,10,1002,1,3,477,2,32,2550,199,199,37295,4,8,722,1,3,477,2,32,2550
201111,21,3,6,Kentucky,309,309,50366,12,24,2238,2,8,350,21,254,13537,229,229,37795,11,22,2100,2,8,350,18,224,11795
201111,22,3,7,Louisiana,743,743,132823,12,24,1853,1,3,249,7,64,4041,412,412,80722,11,22,1645,0,0,0,1,6,320
201111,23,1,1,Maine,178,178,30300,3,6,739,1,4,540,2,35,2306,101,101,17884,2,4,600,1,4,540,1,28,2000
201111,24,3,5,Maryland,673,673,124362,3,6,746,0,0,0,4,99,13293,513,513,93052,1,2,150,0,0,0,1,28,5800
201111,25,1,1,Massachusetts,403,403,117115,12,24,3705,3,11,1996,17,392,103019,294,294,92022,9,18,2983,2,8,1451,5,300,95107
201111,26,2,3,Michigan,719,719,129411,1,2,434,1,4,250,6,83,8081,555,555,101772,0,0,0,1,4,250,4,73,7394
201111,27,2,4,Minnesota,436,436,108718,1,2,400,5,19,2688,10,290,30168,359,359,94879,1,2,400,4,16,2126,7,264,26711
