Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201409,01,3,6,Alabama,704,704,143512,3,6,608,0,0,0,4,251,24353,551,551,112967,3,6,608,0,0,0,1,236,23790
201409,02,4,9,Alaska,88,88,24109,2,4,448,1,4,348,5,25,2988,73,73,20849,1,2,199,1,4,348,5,25,2988
201409,04,4,8,Arizona,1575,1575,404221,2,4,403,5,18,8207,10,263,30014,1338,1338,349061,1,2,304,5,18,8207,7,181,20376
201409,05,3,7,Arkansas,521,521,101545,8,16,998,4,13,780,10,138,6715,481,481,94126,8,16,998,4,13,780,9,133,6460
201409,06,4,9,California,2727,2727,817684,38,76,17594,18,63,11814,103,3381,553474,2163,2163,661627,31,62,14917,11,41,7951,54,2640,447268
201409,08,4,8,Colorado,1363,1363,443717,18,36,10218,3,9,4253,36,1362,155442,1185,1185,396065,17,34,9828,3,9,4253,30,1269,147908
201409,09,1,1,Connecticut,206,206,65045,3,6,552,1,4,798,11,247,22991,145,145,42539,2,4,306,1,4,798,8,219,21384
201409,10,3,5,Delaware,410,410,55812,2,4,470,3,11,1357,4,35,2999,340,340,49761,2,4,470,3,11,1357,1,5,635
201409,11,3,5,District of Columbia,14,14,3018,1,2,222,1,4,431,2,374,30408,14,14,3018,1,2,222,1,4,431,2,374,30408
201409,12,3,5,Florida,4861,4861,1232466,15,30,3480,13,46,8026,67,1173,164589,3911,3911,1062437,13,26,3028,8,31,5446,51,896,136453
201409,13,3,5,Georgia,2078,2078,438792,3,6,633,9,30,4839,13,341,25308,1816,1816,391835,1,2,320,8,27,4703,10,317,23796
201409,15,4,9,Hawaii,122,122,50836,0,0,0,0,0,0,0,0,0,107,107,42719,0,0,0,0,0,0,0,0,0
201409,16,4,8,Idaho,547,547,118262,3,6,525,9,36,2384,7,169,16150,533,533,115983,2,4,444,9,36,2384,6,164,15802
201409,17,2,3,Illinois,957,957,235780,11,22,3367,9,29,5243,19,372,91726,757,757,191616,7,14,2330,8,26,4761,10,292,84924
201409,18,2,3,Indiana,1200,1200,268901,26,52,7166,13,51,3271,41,870,93456,1038,1038,241497,24,48,6757,12,48,3064,30,765,86111
201409,19,2,4,Iowa,685,685,154545,20,40,4087,2,7,474,28,777,83005,552,552,130600,16,32,3271,1,4,265,25,743,79659
201409,20,2,4,Kansas,409,409,98210,17,34,3414,1,3,437,34,859,84765,244,244,59773,10,20,2166,1,3,437,29,782,80894
201409,21,3,6,Kentucky,519,519,92005,10,20,1326,14,54,3115,15,194,9569,309,309,54047,7,14,941,12,47,2334,5,54,3327
201409,22,3,7,Louisiana,996,996,196632,12,24,1480,1,3,472,17,434,48886,627,627,132628,12,24,1480,0,0,0,13,383,45937
201409,23,1,1,Maine,285,285,54714,2,4,345,1,3,225,2,22,3387,136,136,28129,2,4,345,1,3,225,0,0,0
201409,24,3,5,Maryland,865,865,183292,2,4,620,1,4,524,22,1093,117975,825,825,176791,1,2,360,0,0,0,18,939,105140
201409,25,1,1,Massachusetts,664,664,190702,26,52,6547,5,15,2105,29,420,57568,476,476,143635,21,42,4916,2,6,775,10,151,25320
201409,26,2,3,Michigan,1433,1433,309133,5,10,1404,14,54,3383,19,392,44935,1092,1092,248363,2,4,476,12,48,3004,15,366,42923
201409,27,2,4,Minnesota,1037,1037,268267,2,4,710,6,23,3545,37,978,124940,844,844,226340,2,4,710,5,19,2927,24,888,114771
