Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200207,01,3,6,Alabama,1638,1638,195142,7,14,685,8,26,1876,37,413,18988,1111,1111,136196,7,14,685,8,26,1876,20,231,12221
200207,02,4,9,Alaska,178,178,34692,15,30,3816,9,34,666,4,29,721,124,124,26886,13,26,3271,9,34,666,3,24,222
200207,04,4,8,Arizona,4867,4867,680616,31,62,4118,10,38,3395,92,1024,60001,4401,4401,620928,30,60,3998,10,38,3395,92,1024,60001
200207,05,3,7,Arkansas,723,723,87129,10,20,1308,5,18,946,7,73,5709,631,631,79691,9,18,1213,4,15,852,6,68,5580
200207,06,4,9,California,11430,11430,2153383,56,112,11066,40,144,13306,170,2238,190598,10210,10210,1939127,50,100,9780,29,108,10423,153,2115,184879
200207,08,4,8,Colorado,3236,3236,493621,11,22,1988,18,63,7999,25,227,24044,2791,2791,424280,11,22,1988,18,63,7999,19,184,21194
200207,09,1,1,Connecticut,1002,1002,180537,5,10,652,0,0,0,10,87,4157,860,860,152267,0,0,0,0,0,0,6,43,2164
200207,10,3,5,Delaware,469,469,51925,0,0,0,1,4,601,5,55,3727,455,455,50820,0,0,0,1,4,601,4,50,3647
200207,11,3,5,District of Columbia,9,9,1137,2,4,277,0,0,0,2,648,38659,9,9,1137,2,4,277,0,0,0,2,648,38659
200207,12,3,5,Florida,11059,11059,1459718,126,252,19213,75,280,24899,272,5249,387895,9978,9978,1334000,123,246,18899,74,277,24655,261,5068,375640
200207,13,3,5,Georgia,6835,6835,811941,31,62,3184,51,201,11144,149,2678,151742,6152,6152,731975,27,54,2687,40,157,10241,133,2514,142447
200207,15,4,9,Hawaii,358,358,65129,3,6,598,1,4,355,5,39,2857,210,210,36695,3,6,598,1,4,355,4,32,2297
200207,16,4,8,Idaho,948,948,134329,2,4,345,3,11,644,5,64,2772,765,765,113677,0,0,0,1,4,253,2,48,1733
200207,17,2,3,Illinois,3674,3674,588297,66,132,11215,57,206,14938,80,1651,119135,2954,2954,485186,53,106,8826,50,179,13242,68,1523,110464
200207,18,2,3,Indiana,2821,2821,415602,48,96,8127,8,32,2367,81,960,52809,2342,2342,359039,39,78,7082,7,28,2078,66,870,47133
200207,19,2,4,Iowa,846,846,116606,15,30,2513,15,54,5037,16,181,9502,731,731,101887,13,26,2112,13,48,4436,15,176,9328
200207,20,2,4,Kansas,838,838,121115,44,88,6623,5,18,1351,21,226,11775,772,772,112588,44,88,6623,5,18,1351,20,221,11477
200207,21,3,6,Kentucky,1504,1504,159151,9,18,971,20,67,2379,16,158,7398,1162,1162,131200,7,14,808,10,37,1644,11,125,5950
200207,22,3,7,Louisiana,1361,1361,163170,9,18,653,4,15,801,40,808,37517,1093,1093,135462,7,14,409,3,12,600,38,776,35284
200207,23,1,1,Maine,628,628,75395,7,14,1167,7,24,2450,7,152,14643,388,388,48077,6,12,1000,5,18,1373,5,142,14099
200207,24,3,5,Maryland,2177,2177,278498,8,16,1536,1,4,428,13,320,20436,1887,1887,242032,8,16,1536,1,4,428,8,186,12869
200207,25,1,1,Massachusetts,1253,1253,235743,24,48,3752,6,18,2253,18,188,15463,775,775,156913,14,28,2535,4,12,1555,5,87,8735
200207,26,2,3,Michigan,3959,3959,557455,29,58,4570,29,100,9581,40,363,21721,2910,2910,435807,8,16,1730,22,79,8022,19,236,14711
