Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201412,01,3,6,Alabama,754,754,148420,1,2,234,14,56,4948,10,294,28410,525,525,98705,0,0,0,14,56,4948,3,215,18157
201412,02,4,9,Alaska,62,62,16915,0,0,0,1,3,546,0,0,0,13,13,2965,0,0,0,0,0,0,0,0,0
201412,04,4,8,Arizona,1473,1473,363433,26,52,4098,0,0,0,28,1462,171121,1272,1272,315973,24,48,3901,0,0,0,23,1375,160869
201412,05,3,7,Arkansas,359,359,82792,16,32,2978,1,3,150,55,475,45274,333,333,78773,16,32,2978,1,3,150,55,475,45274
201412,06,4,9,California,3288,3288,1008446,49,98,20250,30,109,21216,139,3925,619299,2793,2793,875499,43,86,18160,23,85,16463,94,3356,548300
201412,08,4,8,Colorado,1227,1227,368208,9,18,4062,5,19,3250,11,829,87684,1111,1111,334759,8,16,3673,5,19,3250,5,744,80798
201412,09,1,1,Connecticut,196,196,64998,9,18,2292,4,14,3095,6,77,6204,156,156,48391,9,18,2292,4,14,3095,3,59,5161
201412,10,3,5,Delaware,307,307,38974,8,16,1977,1,3,456,8,153,13512,238,238,32625,8,16,1977,1,3,456,4,96,7962
201412,11,3,5,District of Columbia,14,14,3018,0,0,0,2,7,754,1,108,8781,14,14,3018,0,0,0,2,7,754,1,108,8781
201412,12,3,5,Florida,4190,4190,1182239,43,86,11806,40,151,29548,129,3116,312390,3811,3811,1076442,42,84,11566,39,148,29372,117,2883,280169
201412,13,3,5,Georgia,2099,2099,430680,6,12,1672,2,7,781,26,1273,170664,1807,1807,377587,4,8,1390,1,4,645,19,1125,159744
201412,15,4,9,Hawaii,217,217,120872,4,8,2345,0,0,0,14,499,53998,217,217,120872,4,8,2345,0,0,0,14,499,53998
201412,16,4,8,Idaho,507,507,114580,2,4,483,8,32,1922,7,130,10819,333,333,74723,0,0,0,6,24,1375,2,24,3000
201412,17,2,3,Illinois,704,704,166143,5,10,1549,9,31,4823,30,943,135823,617,617,145151,4,8,1358,9,31,4823,24,892,131504
201412,18,2,3,Indiana,726,726,164252,14,28,2781,3,10,936,24,365,23726,645,645,148898,14,28,2781,2,7,729,18,313,20115
201412,19,2,4,Iowa,381,381,86792,5,10,1350,2,7,1060,10,139,14422,300,300,69527,3,6,1079,1,4,851,4,90,9547
201412,20,2,4,Kansas,309,309,72775,7,14,1470,2,7,1089,4,67,3967,181,181,42448,1,2,255,2,7,1089,3,60,3622
201412,21,3,6,Kentucky,387,387,68724,6,12,1400,3,11,1039,12,193,8586,180,180,32642,3,6,750,1,4,350,0,0,0
201412,22,3,7,Louisiana,959,959,182108,12,24,2380,2,8,1346,5,75,4712,528,528,108012,6,12,1260,1,4,717,0,0,0
201412,23,1,1,Maine,196,196,42302,0,0,0,0,0,0,1,14,1417,78,78,21480,0,0,0,0,0,0,0,0,0
201412,24,3,5,Maryland,710,710,138506,2,4,1160,1,4,524,10,350,64227,646,646,127065,1,2,360,0,0,0,8,212,51724
201412,25,1,1,Massachusetts,538,538,159350,9,18,2764,9,31,3801,24,406,57107,401,401,123566,5,10,1569,7,25,2979,6,164,23264
201412,26,2,3,Michigan,701,701,156875,12,24,2891,8,30,3845,8,60,6439,533,533,123197,1,2,280,6,24,3530,5,39,4807
201412,27,2,4,Minnesota,649,649,199448,5,10,1632,3,12,2472,23,631,71068,563,563,178706,5,10,1632,3,12,2472,10,559,61722
