Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201508,01,3,6,Alabama,892,892,169991,0,0,0,0,0,2347,24,997,86102,643,643,119924,0,0,0,0,0,2347,22,975,83183
201508,02,4,9,Alaska,95,95,26726,4,8,1119,1,3,515,2,16,2530,19,19,4077,3,6,781,0,0,0,0,0,0
201508,04,4,8,Arizona,2066,2066,522565,14,28,2576,2,6,1028,52,1068,140068,1713,1713,438595,12,24,2380,2,6,1028,34,741,102592
201508,05,3,7,Arkansas,456,456,95774,5,10,620,1,3,125,45,858,56153,372,372,82398,5,10,620,1,3,125,43,828,54161
201508,06,4,9,California,3676,3676,1124959,57,114,22568,25,81,15642,113,3068,596208,3022,3022,938147,55,110,21514,20,66,13040,70,2514,522574
201508,08,4,8,Colorado,1730,1730,517564,8,16,2593,4,13,1897,22,873,99553,1392,1392,431891,6,12,1936,2,7,952,15,794,91709
201508,09,1,1,Connecticut,251,251,79691,1,2,127,2,7,529,4,44,5578,158,158,44496,0,0,0,0,0,0,1,20,3872
201508,10,3,5,Delaware,406,406,51810,2,4,394,4,14,2199,14,325,30005,397,397,50777,2,4,394,3,10,1945,13,304,28525
201508,11,3,5,District of Columbia,46,46,10381,0,0,0,0,0,0,2,232,21979,46,46,10381,0,0,0,0,0,0,2,232,21979
201508,12,3,5,Florida,5572,5572,1469230,14,28,4048,29,106,11277,56,1614,168139,4953,4953,1315041,12,24,3527,28,103,10887,43,1368,147432
201508,13,3,5,Georgia,2725,2725,549998,5,10,1198,6,24,5079,32,442,32763,2218,2218,448280,3,6,915,6,24,5079,25,329,25121
201508,15,4,9,Hawaii,143,143,52890,3,6,5646,0,0,0,37,654,112112,143,143,52890,3,6,5646,0,0,0,37,654,112112
201508,16,4,8,Idaho,773,773,161631,6,12,1249,0,0,0,6,69,9230,656,656,138291,4,8,980,0,0,0,3,38,6671
201508,17,2,3,Illinois,1048,1048,264044,23,46,4939,12,40,5769,18,859,112128,697,697,186349,17,34,3255,11,37,5255,10,772,97488
201508,18,2,3,Indiana,1150,1150,248434,14,28,2906,4,13,1266,61,698,60444,978,978,212588,8,16,1605,3,10,1081,52,605,53939
201508,19,2,4,Iowa,637,637,143758,3,6,555,1,3,305,8,248,23110,537,537,121043,3,6,555,1,3,305,6,234,21410
201508,20,2,4,Kansas,488,488,106627,14,28,2825,5,17,2029,2,37,1355,324,324,70168,5,10,873,3,10,996,1,30,1250
201508,21,3,6,Kentucky,609,609,112284,11,22,1630,8,29,1466,20,188,11527,387,387,72826,5,10,614,7,26,1166,1,8,400
201508,22,3,7,Louisiana,1074,1074,216182,6,12,1032,1,3,472,1,5,579,750,750,155101,6,12,1032,0,0,0,0,0,0
201508,23,1,1,Maine,312,312,61598,3,6,724,1,3,500,2,10,875,183,183,38960,2,4,525,1,3,500,0,0,0
201508,24,3,5,Maryland,1552,1552,348317,5,10,923,0,0,0,5,84,8358,1469,1469,333357,0,0,0,0,0,0,2,11,1042
201508,25,1,1,Massachusetts,810,810,251605,9,18,2993,7,21,3518,21,491,69974,498,498,174494,5,10,1892,5,15,2750,10,370,56187
201508,26,2,3,Michigan,1212,1212,289449,31,62,7051,5,17,1802,43,601,75161,906,906,225167,20,40,4601,3,11,1485,12,103,12928
201508,27,2,4,Minnesota,1338,1338,332912,11,22,2100,2,7,1367,32,637,87462,1021,1021,261299,1,2,300,1,4,680,19,533,78836
