Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201512,01,3,6,Alabama,685,685,132202,7,14,2067,5,19,1492,13,531,51671,473,473,87578,3,6,1096,4,16,1135,8,422,41776
201512,02,4,9,Alaska,73,73,21249,1,2,355,1,3,515,2,17,2688,16,16,3024,1,2,355,0,0,0,0,0,0
201512,04,4,8,Arizona,1883,1883,481812,13,26,1725,5,19,3009,40,799,107031,1778,1778,458140,12,24,1627,5,19,3009,26,638,88921
201512,05,3,7,Arkansas,421,421,83140,15,30,2299,1,4,175,4,38,2377,344,344,71133,15,30,2299,1,4,175,0,0,0
201512,06,4,9,California,3572,3572,1037751,40,80,16102,26,82,14504,156,4380,785956,2976,2976,872197,37,74,14504,22,69,12570,122,3744,689641
201512,08,4,8,Colorado,1399,1399,396638,16,32,2837,5,17,2643,24,1531,270375,1264,1264,367726,14,28,2180,4,14,2245,19,1482,265756
201512,09,1,1,Connecticut,204,204,61525,5,10,1612,4,14,1651,22,281,21076,147,147,41634,3,6,1370,2,8,1120,3,83,7986
201512,10,3,5,Delaware,361,361,47595,6,12,1750,4,13,1563,8,89,6503,273,273,40009,6,12,1750,3,9,1309,4,28,1892
201512,11,3,5,District of Columbia,12,12,2708,7,14,1540,0,0,0,3,45,4263,12,12,2708,7,14,1540,0,0,0,3,45,4263
201512,12,3,5,Florida,5456,5456,1471864,23,46,7642,17,65,12341,150,4978,698143,5033,5033,1363389,20,40,6721,16,61,12021,135,4708,665896
201512,13,3,5,Georgia,2258,2258,456180,2,4,283,5,16,3209,35,969,123071,1755,1755,352198,0,0,0,4,13,3072,24,776,107660
201512,15,4,9,Hawaii,150,150,55231,5,10,2543,0,0,0,6,520,95658,150,150,55231,5,10,2543,0,0,0,6,520,95658
201512,16,4,8,Idaho,455,455,103390,1,2,207,3,9,701,2,42,4786,374,374,86702,0,0,0,3,9,701,1,12,1000
201512,17,2,3,Illinois,598,598,167145,11,22,3823,23,80,12781,22,587,68741,437,437,129439,10,20,3586,21,73,11737,19,557,65872
201512,18,2,3,Indiana,835,835,202768,13,26,5126,2,7,1179,20,485,34331,710,710,177036,12,24,5013,2,7,1179,15,447,31397
201512,19,2,4,Iowa,370,370,87409,1,2,193,1,4,260,12,254,28214,331,331,78763,1,2,193,1,4,260,11,238,26227
201512,20,2,4,Kansas,450,450,96976,11,22,2933,1,3,443,1,6,90,353,353,78272,6,12,1832,0,0,0,0,0,0
201512,21,3,6,Kentucky,471,471,89422,22,44,2923,3,10,733,28,229,13857,245,245,51260,14,28,1700,2,7,355,2,12,908
201512,22,3,7,Louisiana,895,895,180625,53,106,9104,2,8,1011,13,288,39785,529,529,104049,46,92,7905,0,0,0,10,228,26992
201512,23,1,1,Maine,200,200,37831,1,2,145,2,8,600,7,62,5279,119,119,23376,1,2,145,2,8,600,4,23,2225
201512,24,3,5,Maryland,878,878,197244,0,0,0,10,30,5000,16,193,24185,787,787,179160,0,0,0,0,0,0,4,60,7990
201512,25,1,1,Massachusetts,585,585,170967,44,88,13440,13,43,5836,30,691,122878,383,383,119200,41,82,12502,11,37,4990,8,361,84105
201512,26,2,3,Michigan,794,794,187695,9,18,2757,3,10,903,26,525,79952,584,584,144741,6,12,1907,1,4,585,6,155,32226
201512,27,2,4,Minnesota,669,669,198164,0,0,0,0,0,0,7,112,11534,550,550,168154,0,0,0,0,0,0,2,77,7721
