Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201506,01,3,6,Alabama,984,984,197170,1,2,115,4,14,979,24,280,30236,764,764,149152,1,2,115,2,8,679,19,227,25930
201506,02,4,9,Alaska,127,127,34713,4,8,1148,1,3,515,2,22,3478,35,35,8337,3,6,890,0,0,0,0,0,0
201506,04,4,8,Arizona,2245,2245,575408,9,18,2589,2,8,1628,24,844,98597,1960,1960,507661,6,12,2294,2,8,1628,6,386,46170
201506,05,3,7,Arkansas,552,552,111282,13,26,2814,10,36,1961,9,237,11229,501,501,104617,13,26,2814,10,36,1961,5,217,10000
201506,06,4,9,California,5141,5141,1588741,69,138,24086,112,398,61126,169,5826,1029045,4509,4509,1399086,65,130,22115,105,375,57654,130,5014,907381
201506,08,4,8,Colorado,2119,2119,599769,30,60,11515,5,18,2873,19,1054,108421,1663,1663,489719,4,8,1109,2,8,1460,11,490,55424
201506,09,1,1,Connecticut,256,256,82593,3,6,561,3,11,883,13,298,26803,189,189,50547,0,0,0,0,0,0,3,166,17274
201506,10,3,5,Delaware,357,357,48551,2,4,560,3,9,816,8,70,4127,344,344,47251,2,4,560,1,3,435,4,34,2406
201506,11,3,5,District of Columbia,49,49,11058,13,26,2859,0,0,0,7,714,67644,49,49,11058,13,26,2859,0,0,0,7,714,67644
201506,12,3,5,Florida,6617,6617,1781758,11,22,3967,49,177,29346,118,3176,433594,5936,5936,1616993,6,12,2376,48,174,28820,95,2811,392341
201506,13,3,5,Georgia,3148,3148,673341,3,6,1371,14,45,3120,36,1669,167926,2449,2449,539231,1,2,1088,12,39,2831,28,1538,158878
201506,15,4,9,Hawaii,236,236,105461,4,8,14933,1,3,5526,19,132,23797,216,216,94546,4,8,14933,1,3,5526,19,132,23797
201506,16,4,8,Idaho,717,717,155873,5,10,801,5,19,1133,6,102,10306,633,633,139678,1,2,262,4,16,998,3,41,3501
201506,17,2,3,Illinois,1135,1135,291675,17,34,3685,7,23,3458,28,1152,162304,739,739,205661,13,26,2453,6,20,3218,18,1058,146786
201506,18,2,3,Indiana,1309,1309,283721,58,116,6750,0,0,0,25,318,33721,1143,1143,250795,57,114,6637,0,0,0,18,254,28744
201506,19,2,4,Iowa,774,774,177521,2,4,279,2,8,703,15,348,39477,654,654,154737,0,0,0,1,4,426,13,336,38102
201506,20,2,4,Kansas,605,605,122817,5,10,1121,12,36,2886,5,48,4920,415,415,81118,0,0,0,10,30,2000,4,40,4800
201506,21,3,6,Kentucky,668,668,125947,11,22,1622,5,18,1524,41,325,18624,394,394,78115,3,6,280,4,15,1146,8,96,4950
201506,22,3,7,Louisiana,1204,1204,239320,14,28,2411,2,8,765,4,77,8799,735,735,154303,7,14,1190,0,0,0,0,0,0
201506,23,1,1,Maine,328,328,61847,33,66,5854,4,16,2467,7,82,6211,194,194,35569,22,44,4629,4,16,2467,4,26,1039
201506,24,3,5,Maryland,1226,1226,275438,5,10,1380,8,31,3944,47,714,97141,990,990,228459,2,4,378,7,28,3387,32,552,77891
201506,25,1,1,Massachusetts,668,668,174013,22,44,7968,16,49,9901,36,889,100453,371,371,98251,14,28,5823,12,36,8168,4,217,30840
201506,26,2,3,Michigan,1516,1516,337746,5,10,883,5,18,2325,54,1027,132654,1165,1165,266764,3,6,518,4,14,2007,21,486,64132
