Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201607,01,3,6,Alabama,919,919,186889,3,6,942,0,0,0,14,99,14936,713,713,137636,0,0,0,0,0,0,12,72,13114
201607,02,4,9,Alaska,85,85,24796,5,10,1451,3,11,1483,2,15,2231,13,13,3516,4,8,1212,2,8,960,1,5,650
201607,04,4,8,Arizona,1820,1820,469112,13,26,2211,3,11,1754,25,583,85683,1618,1618,410018,12,24,1865,3,11,1754,14,521,78738
201607,05,3,7,Arkansas,578,578,106468,17,34,2634,2,7,291,3,34,3430,397,397,74377,16,32,2490,1,4,125,0,0,0
201607,06,4,9,California,3570,3570,1118825,74,148,24260,34,117,18047,107,2228,497939,2843,2843,919851,70,140,21614,30,104,16458,72,1750,429820
201607,08,4,8,Colorado,1949,1949,637944,8,16,2383,8,24,3167,26,879,124024,1837,1837,605768,8,16,2383,7,21,2648,23,863,121222
201607,09,1,1,Connecticut,232,232,80225,2,4,577,0,0,0,5,49,7046,181,181,56061,1,2,400,0,0,0,2,28,5513
201607,10,3,5,Delaware,367,367,48405,6,12,1537,0,0,0,4,41,3764,273,273,40144,6,12,1537,0,0,0,2,13,1645
201607,11,3,5,District of Columbia,16,16,3646,2,4,427,0,0,0,2,47,4717,16,16,3646,2,4,427,0,0,0,2,47,4717
201607,12,3,5,Florida,6255,6255,1687933,37,74,12418,9,35,6609,69,2586,313251,5547,5547,1505270,35,70,12086,8,31,6463,53,2304,281913
201607,13,3,5,Georgia,2869,2869,615027,3,6,306,1,4,652,19,811,79527,2505,2505,537438,3,6,306,1,4,652,15,758,74218
201607,15,4,9,Hawaii,151,151,61613,25,50,12835,0,0,0,13,72,15578,151,151,61613,25,50,12835,0,0,0,13,72,15578
201607,16,4,8,Idaho,784,784,161769,12,24,2543,5,19,1226,16,278,29132,629,629,127192,1,2,137,0,0,0,12,235,25305
201607,17,2,3,Illinois,898,898,266128,10,20,4358,23,77,10640,21,1193,86951,626,626,205704,7,14,3426,22,74,10490,13,1097,77388
201607,18,2,3,Indiana,1189,1189,286681,41,82,8335,2,7,450,29,386,59950,960,960,233212,37,74,6857,1,3,238,16,221,15938
201607,19,2,4,Iowa,469,469,110464,7,14,1432,5,16,2425,3,203,21655,387,387,93357,7,14,1432,5,16,2425,3,203,21655
201607,20,2,4,Kansas,409,409,107093,16,32,2730,1,3,408,24,478,67551,287,287,71989,5,10,873,0,0,0,19,410,62005
201607,21,3,6,Kentucky,521,521,98315,6,12,1025,4,16,1036,28,377,31139,303,303,56238,3,6,541,3,12,925,20,231,20621
201607,22,3,7,Louisiana,983,983,215309,12,24,1685,1,3,472,2,30,3684,561,561,129321,11,22,1464,0,0,0,0,0,0
201607,23,1,1,Maine,357,357,62881,6,12,1309,10,39,7636,7,63,4103,198,198,35180,5,10,1010,9,36,7303,7,63,4103
201607,24,3,5,Maryland,885,885,197676,1,2,209,0,0,0,7,153,24213,837,837,188017,0,0,0,0,0,0,3,55,9200
201607,25,1,1,Massachusetts,604,604,171665,25,50,7951,3,9,932,23,667,97529,435,435,128427,21,42,6475,2,6,637,11,575,83717
201607,26,2,3,Michigan,1474,1474,365172,5,10,1396,3,10,1274,81,1398,122187,1122,1122,296641,4,8,1186,2,7,1035,45,850,89785
201607,27,2,4,Minnesota,1266,1266,312853,21,42,5950,24,84,10832,37,671,109690,908,908,233830,1,2,250,14,54,5882,4,394,86533
