Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201906,01,3,6,Alabama,1201,1201,261659,3,6,866,1,4,554,7,184,31918,836,836,177414,0,0,0,0,0,0,3,143,28342
201906,02,4,9,Alaska,106,106,30985,3,6,892,1,4,695,3,23,2855,21,21,4778,2,4,692,0,0,0,1,10,800
201906,04,4,8,Arizona,2795,2795,734688,45,90,6758,2,6,1334,39,1468,156696,2467,2467,654919,44,88,6460,2,6,1334,34,1243,119663
201906,05,3,7,Arkansas,627,627,143487,29,58,8811,21,72,6989,6,166,13124,413,413,101907,25,50,8250,18,62,6459,2,132,11000
201906,06,4,9,California,5658,5658,1594923,92,184,36838,30,98,24037,129,3074,480028,4972,4972,1374970,85,170,33285,26,84,21414,104,2706,412053
201906,08,4,8,Colorado,2660,2660,788504,35,70,6472,18,57,9505,56,1115,147566,2343,2343,694669,35,70,6472,5,18,2422,49,1021,136752
201906,09,1,1,Connecticut,169,169,58507,30,60,6270,7,22,2279,11,85,9055,99,99,28217,28,56,5938,7,22,2279,2,35,2386
201906,10,3,5,Delaware,512,512,69081,6,12,1294,3,11,393,8,101,6076,422,422,60639,6,12,1294,3,11,393,7,96,5591
201906,11,3,5,District of Columbia,5,5,1187,3,6,671,0,0,0,4,119,13357,5,5,1187,3,6,671,0,0,0,4,119,13357
201906,12,3,5,Florida,8153,8153,2011439,98,196,26461,22,79,10231,88,2555,323211,7564,7564,1873277,96,192,26007,18,67,8607,79,2365,295176
201906,13,3,5,Georgia,3612,3612,776935,23,46,7071,13,43,4178,13,355,56163,2844,2844,610141,22,44,6896,11,37,3809,7,308,49647
201906,15,4,9,Hawaii,238,238,82540,0,0,0,8,24,15591,12,76,15264,144,144,53359,0,0,0,8,24,15591,12,76,15264
201906,16,4,8,Idaho,1025,1025,228159,5,10,1323,15,60,4495,7,127,13028,850,850,184597,4,8,1183,14,56,4179,3,64,6439
201906,17,2,3,Illinois,797,797,214823,26,52,8536,16,52,9237,28,383,63582,554,554,152087,23,46,7500,15,49,8835,21,336,58953
201906,18,2,3,Indiana,1490,1490,392299,15,30,2705,12,38,4230,25,583,56422,1268,1268,342918,11,22,1850,12,38,4230,20,553,53780
201906,19,2,4,Iowa,828,828,189026,6,12,2108,4,16,3021,19,571,72721,578,578,142346,4,8,1310,4,16,3021,18,566,72462
201906,20,2,4,Kansas,444,444,117076,28,56,6471,3,12,2244,4,99,12651,295,295,80794,11,22,3861,3,12,2244,1,67,10500
201906,21,3,6,Kentucky,703,703,155157,8,16,1652,1,4,650,11,230,23233,418,418,89676,3,6,550,1,4,650,1,5,700
201906,22,3,7,Louisiana,1160,1160,234825,16,32,3247,2,6,1194,3,60,9961,744,744,150070,3,6,812,0,0,0,0,0,0
201906,23,1,1,Maine,348,348,75561,12,24,3438,1,3,250,5,46,5463,152,152,30693,7,14,1844,0,0,0,0,0,0
201906,24,3,5,Maryland,1130,1130,249863,3,6,922,1,4,2954,5,601,115587,996,996,215380,1,2,300,0,0,0,4,577,111670
201906,25,1,1,Massachusetts,493,493,154203,25,50,8870,10,30,5471,29,805,173292,267,267,90307,10,20,3314,6,18,3134,10,582,140750
201906,26,2,3,Michigan,1548,1548,379158,15,30,4612,24,88,11456,17,166,15260,1037,1037,263873,12,24,3925,21,79,10747,6,111,9451
