Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201509,01,3,6,Alabama,853,853,186168,6,12,720,1,4,200,4,92,5918,644,644,140714,6,12,720,0,0,0,2,72,3324
201509,02,4,9,Alaska,90,90,24123,2,4,343,1,3,515,2,17,2688,14,14,2751,0,0,0,0,0,0,0,0,0
201509,04,4,8,Arizona,1945,1945,512625,7,14,964,3,10,1331,27,534,76437,1812,1812,484239,5,10,767,3,10,1331,13,386,59739
201509,05,3,7,Arkansas,451,451,96305,26,52,6839,0,0,0,3,61,4626,377,377,83718,26,52,6839,0,0,0,1,36,2975
201509,06,4,9,California,3315,3315,1041021,36,72,15162,16,55,9970,142,4534,663599,2694,2694,855494,30,60,11667,9,30,5802,107,3830,558644
201509,08,4,8,Colorado,1606,1606,483266,14,28,3991,22,86,20078,35,1021,118742,1481,1481,455436,12,24,3333,20,80,19177,33,997,116274
201509,09,1,1,Connecticut,225,225,78149,6,12,1171,4,14,1404,14,261,21634,166,166,54104,3,6,808,1,3,274,9,233,19187
201509,10,3,5,Delaware,333,333,50197,6,12,1240,1,4,561,6,57,2324,328,328,49806,6,12,1240,1,4,561,5,48,2180
201509,11,3,5,District of Columbia,16,16,3611,12,24,2639,1,4,484,2,359,34011,16,16,3611,12,24,2639,1,4,484,2,359,34011
201509,12,3,5,Florida,5796,5796,1513532,41,82,10248,40,153,30966,145,4359,523779,5402,5402,1421988,39,78,9540,36,141,29113,133,4147,496004
201509,13,3,5,Georgia,2622,2622,522324,7,14,1647,4,15,2150,12,179,16672,2152,2152,428107,4,8,1221,3,11,1968,5,49,7116
201509,15,4,9,Hawaii,168,168,74985,3,6,1539,0,0,0,0,0,0,168,168,74985,3,6,1539,0,0,0,0,0,0
201509,16,4,8,Idaho,636,636,134548,11,22,2531,7,28,2310,11,173,11481,569,569,120346,10,20,2241,7,28,2310,11,173,11481
201509,17,2,3,Illinois,1063,1063,275295,17,34,4835,19,67,6654,34,364,41855,776,776,212966,12,24,3440,19,67,6654,24,280,31024
201509,18,2,3,Indiana,1046,1046,241000,7,14,2023,9,34,4221,47,778,135474,877,877,209268,5,10,1797,8,31,3921,39,699,129349
201509,19,2,4,Iowa,600,600,141265,18,36,4291,3,11,1067,19,614,77574,506,506,119634,18,36,4291,3,11,1067,17,603,76118
201509,20,2,4,Kansas,456,456,107891,10,20,2220,1,4,590,25,437,54613,286,286,69454,3,6,652,0,0,0,23,411,53342
201509,21,3,6,Kentucky,648,648,115361,10,20,1336,4,14,1172,30,290,13616,399,399,72389,3,6,395,2,8,589,12,125,3289
201509,22,3,7,Louisiana,1150,1150,236775,27,54,3225,3,10,1203,6,53,7260,650,650,137839,11,22,633,0,0,0,4,28,2724
201509,23,1,1,Maine,278,278,46907,1,2,199,3,12,1140,6,148,21015,167,167,29227,0,0,0,3,12,1140,5,143,20800
201509,24,3,5,Maryland,823,823,177042,6,12,1004,0,0,0,8,624,58021,768,768,167697,0,0,0,0,0,0,5,556,51191
201509,25,1,1,Massachusetts,705,705,195931,15,30,5025,6,19,2419,33,1264,221529,411,411,122391,7,14,2685,3,10,1277,20,1137,206236
201509,26,2,3,Michigan,1357,1357,339714,15,30,4871,6,22,2172,45,792,101277,1077,1077,279388,5,10,1208,4,16,1855,13,151,20175
