Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201406,01,3,6,Alabama,827,827,167607,2,4,579,7,25,3935,28,432,31517,639,639,131484,2,4,579,7,25,3935,26,420,31028
201406,02,4,9,Alaska,92,92,24812,6,12,1448,2,7,782,0,0,0,22,22,5063,3,6,565,1,3,54,0,0,0
201406,04,4,8,Arizona,1877,1877,457303,4,8,481,6,23,2534,7,576,71928,1552,1552,382935,1,2,186,5,20,2236,4,520,65345
201406,05,3,7,Arkansas,393,393,80112,21,42,2549,3,12,480,5,96,7441,346,346,71250,21,42,2549,3,12,480,4,91,7186
201406,06,4,9,California,4461,4461,1286193,50,100,18556,42,153,24420,132,2594,387392,3666,3666,1063141,39,78,14100,28,106,16649,99,2165,327148
201406,08,4,8,Colorado,1770,1770,497666,34,68,12340,1,4,530,13,732,83954,1630,1630,456964,33,66,11951,1,4,530,11,695,81105
201406,09,1,1,Connecticut,255,255,80962,1,2,195,6,24,1680,37,1036,87909,195,195,68567,1,2,195,6,24,1680,33,983,82683
201406,10,3,5,Delaware,328,328,42650,3,6,550,3,12,1030,5,43,4044,244,244,34937,3,6,550,3,12,1030,1,6,780
201406,11,3,5,District of Columbia,24,24,5174,2,4,444,0,0,0,1,27,2195,24,24,5174,2,4,444,0,0,0,1,27,2195
201406,12,3,5,Florida,5046,5046,1337353,25,50,6289,17,62,9663,103,2515,308460,4462,4462,1176091,23,46,5757,12,44,7098,85,2225,277875
201406,13,3,5,Georgia,2415,2415,490099,2,4,283,8,29,4862,20,697,73063,2018,2018,417601,0,0,0,7,26,4726,18,676,71458
201406,15,4,9,Hawaii,201,201,103095,4,8,5750,0,0,0,2,108,18052,183,183,93354,4,8,5750,0,0,0,2,108,18052
201406,16,4,8,Idaho,626,626,134652,6,12,1399,19,75,5182,10,117,11648,576,576,124516,3,6,675,19,75,5182,7,74,6038
201406,17,2,3,Illinois,963,963,237893,26,52,6401,3,10,1168,52,1152,96355,781,781,193523,22,44,5258,2,7,687,43,1065,87843
201406,18,2,3,Indiana,1276,1276,285914,11,22,2710,5,18,1712,48,773,54863,1067,1067,246119,8,16,2189,4,15,1505,35,625,44955
201406,19,2,4,Iowa,827,827,183183,7,14,1826,2,7,632,12,236,20094,612,612,141255,3,6,1010,1,3,353,4,153,13171
201406,20,2,4,Kansas,394,394,98333,23,46,4702,1,4,480,8,169,21707,192,192,49129,15,30,3129,1,4,480,5,133,18198
201406,21,3,6,Kentucky,751,751,110505,3,6,474,5,17,1329,8,118,5212,524,524,68995,0,0,0,3,11,738,0,0,0
201406,22,3,7,Louisiana,1062,1062,214023,9,18,1529,1,3,472,6,131,10000,511,511,113809,7,14,1196,0,0,0,1,75,6098
201406,23,1,1,Maine,312,312,61125,1,2,160,0,0,0,6,70,5912,166,166,33096,0,0,0,0,0,0,2,28,1650
201406,24,3,5,Maryland,1029,1029,216815,2,4,498,1,4,524,22,392,28284,978,978,208136,0,0,0,0,0,0,17,258,17046
201406,25,1,1,Massachusetts,655,655,183370,10,20,3111,9,27,3413,22,589,107213,477,477,138434,6,12,1938,6,18,2509,5,301,66732
201406,26,2,3,Michigan,1360,1360,316284,38,76,7606,7,24,2647,19,206,21130,958,958,238996,37,74,7342,5,18,2049,12,151,15705
