Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201904,01,3,6,Alabama,1377,1377,271350,13,26,3002,2,8,1119,5,89,14547,951,951,180392,9,18,1653,0,0,0,0,0,0
201904,02,4,9,Alaska,120,120,33753,2,4,455,2,6,1042,3,20,3349,33,33,7467,1,2,345,0,0,0,1,5,977
201904,04,4,8,Arizona,2933,2933,776018,35,70,10098,1,3,667,44,1584,200496,2207,2207,598362,24,48,8026,1,3,667,29,1349,166500
201904,05,3,7,Arkansas,632,632,148999,22,44,7482,9,33,2137,4,49,3361,463,463,119611,17,34,6760,3,12,925,0,0,0
201904,06,4,9,California,5508,5508,1672885,107,214,41590,63,208,39421,125,3115,557532,4577,4577,1411623,88,176,34006,52,174,33010,88,2497,469215
201904,08,4,8,Colorado,2383,2383,697792,24,48,8298,9,33,4642,32,1129,80682,2191,2191,644664,23,46,7922,2,7,686,26,1064,71503
201904,09,1,1,Connecticut,284,284,94453,2,4,921,0,0,0,13,433,91199,234,234,69963,1,2,800,0,0,0,4,376,82990
201904,10,3,5,Delaware,379,379,45818,2,4,369,0,0,0,5,30,4526,373,373,44492,2,4,369,0,0,0,4,25,4039
201904,11,3,5,District of Columbia,31,31,7329,6,12,1458,0,0,0,3,430,47036,31,31,7329,6,12,1458,0,0,0,3,430,47036
201904,12,3,5,Florida,7861,7861,1873596,66,132,19944,29,102,17168,175,6423,879221,7128,7128,1699038,62,124,19427,26,91,15136,152,5858,824966
201904,13,3,5,Georgia,3438,3438,756318,0,0,0,9,30,5465,20,972,154067,2767,2767,605582,0,0,0,8,26,5219,16,858,141909
201904,15,4,9,Hawaii,147,147,64630,3,6,1935,0,0,0,0,0,0,147,147,64630,3,6,1935,0,0,0,0,0,0
201904,16,4,8,Idaho,1112,1112,225678,17,34,3622,13,50,4172,14,169,17273,763,763,148813,6,12,2069,6,22,1975,6,78,8201
201904,17,2,3,Illinois,975,975,275545,16,32,5216,17,54,8175,48,2317,281675,680,680,203505,11,22,3744,16,51,7732,37,2188,266283
201904,18,2,3,Indiana,1602,1602,424724,36,72,11107,2,7,1529,13,449,52694,1315,1315,361976,32,64,10173,1,4,850,6,333,43087
201904,19,2,4,Iowa,949,949,211485,10,20,3082,2,7,850,3,24,5713,716,716,173997,10,20,3082,2,7,850,3,24,5713
201904,20,2,4,Kansas,597,597,142230,37,74,6961,2,7,880,4,191,6317,390,390,92583,24,48,4780,0,0,0,1,134,1570
201904,21,3,6,Kentucky,796,796,190376,5,10,1158,6,23,2136,22,416,17325,619,619,159224,3,6,840,5,20,1820,17,342,12081
201904,22,3,7,Louisiana,1302,1302,294464,63,126,8786,0,0,0,2,14,3158,717,717,175011,47,94,5018,0,0,0,0,0,0
201904,23,1,1,Maine,265,265,55436,8,16,3232,1,3,505,5,34,2289,146,146,32190,6,12,2686,0,0,0,0,0,0
201904,24,3,5,Maryland,1127,1127,258225,12,24,7767,10,30,7500,11,624,121780,1087,1087,248205,0,0,0,0,0,0,11,624,121780
201904,25,1,1,Massachusetts,600,600,190817,33,66,9493,15,51,11430,25,304,43115,426,426,142554,25,50,6703,13,44,10199,8,149,20111
201904,26,2,3,Michigan,1687,1687,393831,5,10,1023,6,21,2417,23,317,37484,1024,1024,237984,4,8,840,4,14,1535,8,136,19399
